jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Finland,1998,3C1,,,,,,,,
Finland,1998,3C2,,,,,,,,
Finland,1998,3C3,,,,,,,,
Finland,1998,3C4,,,,,,,,
Finland,1998,3C5,,,,,,,,
Finland,1998,3C6,,,,,,,,
Finland,1998,3C7,,,,,,,,
Finland,1998,3C8,,,,,,,,
Finland,1998,3D,,,,,,,,
Finland,1998,3D1,,,,,,,,
Finland,1998,3D2,,,,,,,,
Finland,1998,4A,,,,,,,,
Finland,1998,4A1,,,,,,,,
Finland,1998,4A2,,,,,,,,
Finland,1998,4A3,,,,,,,,
Finland,1998,4B,,,,,,,,
Finland,1998,4C,,,,,,,,
Finland,1998,4C1,,,,,,,,
Finland,1998,4C2,,,,,,,,
Finland,1998,4D,,,,,,,,
Finland,1998,4D1,,,,,,,,
Finland,1998,4D2,,,,,,,,
Finland,1998,4E,,,,,,,,
Finland,1998,5A,,,,,,,,
Finland,1998,5A1,,,,,,,,
Finland,1998,5A2,,,,,,,,
Finland,1999,0,,,,,,,,
Finland,1999,1,,,,,,,,
Finland,1999,2,,,,,,,,
Finland,1999,3,,,,,,,,
Finland,1999,4,,,,,,,,
Finland,1999,5,,,,,,,,
Finland,1999,1A,Coal,,,,,,,
Finland,1999,1A,Natural gas,,,,,,,
Finland,1999,1A,Oil,,,,,,,
Finland,1999,1A1,Coal,,,,,,,
Finland,1999,1A1,Natural gas,,,,,,,
Finland,1999,1A1,Oil,,,,,,,
Finland,1999,1A1A,Coal,,,,,,,
Finland,1999,1A1A,Natural gas,,,,,,,
Finland,1999,1A1A,Oil,,,,,,,
Finland,1999,1A1A1,Coal,,,,,,,
Finland,1999,1A1A1,Natural gas,,,,,,,
Finland,1999,1A1A1,Oil,,,,,,,
Finland,1999,1A1A2,Coal,,,,,,,
Finland,1999,1A1A2,Natural gas,,,,,,,
Finland,1999,1A1A2,Oil,,,,,,,
Finland,1999,1A1A3,Coal,,,,,,,
Finland,1999,1A1A3,Natural gas,,,,,,,
Finland,1999,1A1A3,Oil,,,,,,,
Finland,1999,1A1B,Coal,,,,,,,
Finland,1999,1A1B,Natural gas,,,,,,,
Finland,1999,1A1B,Oil,,,,,,,
Finland,1999,1A1C,Coal,,,,,,,
Finland,1999,1A1C,Natural gas,,,,,,,
Finland,1999,1A1C,Oil,,,,,,,
Finland,1999,1A2,Coal,,,,,,,
Finland,1999,1A2,Natural gas,,,,,,,
Finland,1999,1A2,Oil,,,,,,,
Finland,1999,1A2A,Coal,,,,,,,
Finland,1999,1A2A,Natural gas,,,,,,,
Finland,1999,1A2A,Oil,,,,,,,
Finland,1999,1A2B,Coal,,,,,,,
Finland,1999,1A2B,Natural gas,,,,,,,
Finland,1999,1A2B,Oil,,,,,,,
Finland,1999,1A2C,Coal,,,,,,,
Finland,1999,1A2C,Natural gas,,,,,,,
Finland,1999,1A2C,Oil,,,,,,,
Finland,1999,1A2D,Coal,,,,,,,
Finland,1999,1A2D,Natural gas,,,,,,,
Finland,1999,1A2D,Oil,,,,,,,
Finland,1999,1A2E,Coal,,,,,,,
Finland,1999,1A2E,Natural gas,,,,,,,
Finland,1999,1A2E,Oil,,,,,,,
Finland,1999,1A2F,Coal,,,,,,,
Finland,1999,1A2F,Natural gas,,,,,,,
Finland,1999,1A2F,Oil,,,,,,,
Finland,1999,1A2G,Coal,,,,,,,
Finland,1999,1A2G,Natural gas,,,,,,,
Finland,1999,1A2G,Oil,,,,,,,
Finland,1999,1A2H,Coal,,,,,,,
Finland,1999,1A2H,Natural gas,,,,,,,
Finland,1999,1A2H,Oil,,,,,,,
Finland,1999,1A2I,Coal,,,,,,,
Finland,1999,1A2I,Natural gas,,,,,,,
Finland,1999,1A2I,Oil,,,,,,,
Finland,1999,1A2J,Coal,,,,,,,
Finland,1999,1A2J,Natural gas,,,,,,,
Finland,1999,1A2J,Oil,,,,,,,
Finland,1999,1A2K,Coal,,,,,,,
Finland,1999,1A2K,Natural gas,,,,,,,
Finland,1999,1A2K,Oil,,,,,,,
Finland,1999,1A2L,Coal,,,,,,,
Finland,1999,1A2L,Natural gas,,,,,,,
Finland,1999,1A2L,Oil,,,,,,,
Finland,1999,1A2M,Coal,,,,,,,
Finland,1999,1A2M,Natural gas,,,,,,,
Finland,1999,1A2M,Oil,,,,,,,
Finland,1999,1A3,Coal,,,,,,,
Finland,1999,1A3,Natural gas,,,,,,,
Finland,1999,1A3,Oil,,,,,,,
Finland,1999,1A3A,Coal,,,,,,,
Finland,1999,1A3A,Natural gas,,,,,,,
Finland,1999,1A3A,Oil,,,,,,,
Finland,1999,1A3A1,Coal,,,,,,,
Finland,1999,1A3A1,Natural gas,,,,,,,
Finland,1999,1A3A1,Oil,,,,,,,
Finland,1999,1A3A2,Coal,,,,,,,
Finland,1999,1A3A2,Natural gas,,,,,,,
Finland,1999,1A3A2,Oil,,,,,,,
Finland,1999,1A3B,Coal,,,,,,,
Finland,1999,1A3B,Natural gas,,,,,,,
Finland,1999,1A3B,Oil,,,,,,,
Finland,1999,1A3C,Coal,,,,,,,
Finland,1999,1A3C,Natural gas,,,,,,,
Finland,1999,1A3C,Oil,,,,,,,
Finland,1999,1A3D,Coal,,,,,,,
Finland,1999,1A3D,Natural gas,,,,,,,
Finland,1999,1A3D,Oil,,,,,,,
Finland,1999,1A3D1,Coal,,,,,,,
Finland,1999,1A3D1,Natural gas,,,,,,,
Finland,1999,1A3D1,Oil,,,,,,,
Finland,1999,1A3D2,Coal,,,,,,,
Finland,1999,1A3D2,Natural gas,,,,,,,
Finland,1999,1A3D2,Oil,,,,,,,
Finland,1999,1A3E,Coal,,,,,,,
Finland,1999,1A3E,Natural gas,,,,,,,
Finland,1999,1A3E,Oil,,,,,,,
Finland,1999,1A3E1,Coal,,,,,,,
Finland,1999,1A3E1,Natural gas,,,,,,,
Finland,1999,1A3E1,Oil,,,,,,,
Finland,1999,1A4,Coal,,,,,,,
Finland,1999,1A4,Natural gas,,,,,,,
Finland,1999,1A4,Oil,,,,,,,
Finland,1999,1A4A,Coal,,,,,,,
Finland,1999,1A4A,Natural gas,,,,,,,
Finland,1999,1A4A,Oil,,,,,,,
Finland,1999,1A4B,Coal,,,,,,,
Finland,1999,1A4B,Natural gas,,,,,,,
Finland,1999,1A4B,Oil,,,,,,,
Finland,1999,1A4C,Coal,,,,,,,
Finland,1999,1A4C,Natural gas,,,,,,,
Finland,1999,1A4C,Oil,,,,,,,
Finland,1999,1A4C1,Coal,,,,,,,
Finland,1999,1A4C1,Natural gas,,,,,,,
Finland,1999,1A4C1,Oil,,,,,,,
Finland,1999,1A4C2,Coal,,,,,,,
Finland,1999,1A4C2,Natural gas,,,,,,,
Finland,1999,1A4C2,Oil,,,,,,,
Finland,1999,1A4C3,Coal,,,,,,,
Finland,1999,1A4C3,Natural gas,,,,,,,
Finland,1999,1A4C3,Oil,,,,,,,
Finland,1999,1A5,Coal,,,,,,,
Finland,1999,1A5,Natural gas,,,,,,,
Finland,1999,1A5,Oil,,,,,,,
Finland,1999,1A5A,Coal,,,,,,,
Finland,1999,1A5A,Natural gas,,,,,,,
Finland,1999,1A5A,Oil,,,,,,,
Finland,1999,1A5B,Coal,,,,,,,
Finland,1999,1A5B,Natural gas,,,,,,,
Finland,1999,1A5B,Oil,,,,,,,
Finland,1999,1A5C,Coal,,,,,,,
Finland,1999,1A5C,Natural gas,,,,,,,
Finland,1999,1A5C,Oil,,,,,,,
Finland,1999,1B,,,,,,,,
Finland,1999,1B1,,,,,,,,
Finland,1999,1B1A,,,,,,,,
Finland,1999,1B1A1,,,,,,,,
Finland,1999,1B1A11,,,,,,,,
Finland,1999,1B1A12,,,,,,,,
Finland,1999,1B1A13,,,,,,,,
Finland,1999,1B1A14,,,,,,,,
Finland,1999,1B1A2,,,,,,,,
Finland,1999,1B1A21,,,,,,,,
Finland,1999,1B1A22,,,,,,,,
Finland,1999,1B1B,,,,,,,,
Finland,1999,1B2,,,,,,,,
Finland,1999,1B2A,,,,,,,,
Finland,1999,1B2A1,,,,,,,,
Finland,1999,1B2A2,,,,,,,,
Finland,1999,1B2A3,,,,,,,,
Finland,1999,1B2A31,,,,,,,,
Finland,1999,1B2A32,,,,,,,,
Finland,1999,1B2A33,,,,,,,,
Finland,1999,1B2A34,,,,,,,,
Finland,1999,1B2A35,,,,,,,,
Finland,1999,1B2A36,,,,,,,,
Finland,1999,1B2B,,,,,,,,
Finland,1999,1B2B1,,,,,,,,
Finland,1999,1B2B2,,,,,,,,
Finland,1999,1B2B3,,,,,,,,
Finland,1999,1B2B31,,,,,,,,
Finland,1999,1B2B32,,,,,,,,
Finland,1999,1B2B33,,,,,,,,
Finland,1999,1B2B34,,,,,,,,
Finland,1999,1B2B35,,,,,,,,
Finland,1999,1B2B36,,,,,,,,
Finland,1999,1B3,,,,,,,,
Finland,1999,1C,,,,,,,,
Finland,1999,1C1,,,,,,,,
Finland,1999,1C1A,,,,,,,,
Finland,1999,1C1B,,,,,,,,
Finland,1999,1C1C,,,,,,,,
Finland,1999,1C2,,,,,,,,
Finland,1999,1C2A,,,,,,,,
Finland,1999,1C2B,,,,,,,,
Finland,1999,1C3,,,,,,,,
Finland,1999,2A,,,,,,,,
Finland,1999,2A1,,,,,,,,
Finland,1999,2A2,,,,,,,,
Finland,1999,2A3,,,,,,,,
Finland,1999,2A4,,,,,,,,
Finland,1999,2A4A,,,,,,,,
Finland,1999,2A4B,,,,,,,,
Finland,1999,2A4C,,,,,,,,
Finland,1999,2A4D,,,,,,,,
Finland,1999,2B,,,,,,,,
Finland,1999,2B1,,,,,,,,
Finland,1999,2B10,,,,,,,,
Finland,1999,2B2,,,,,,,,
Finland,1999,2B3,,,,,,,,
Finland,1999,2B4,,,,,,,,
Finland,1999,2B5,,,,,,,,
Finland,1999,2B6,,,,,,,,
Finland,1999,2B7,,,,,,,,
Finland,1999,2B8,,,,,,,,
Finland,1999,2B8A,,,,,,,,
Finland,1999,2B8B,,,,,,,,
Finland,1999,2B8C,,,,,,,,
Finland,1999,2B8D,,,,,,,,
Finland,1999,2B8E,,,,,,,,
Finland,1999,2B8F,,,,,,,,
Finland,1999,2B9,,,,,,,,
Finland,1999,2B9A,,,,,,,,
Finland,1999,2B9B,,,,,,,,
Finland,1999,2C,,,,,,,,
Finland,1999,2C1,,,,,,,,
Finland,1999,2C2,,,,,,,,
Finland,1999,2C3,,,,,,,,
Finland,1999,2C4,,,,,,,,
Finland,1999,2C5,,,,,,,,
Finland,1999,2C6,,,,,,,,
Finland,1999,2C7,,,,,,,,
Finland,1999,2D,,,,,,,,
Finland,1999,2D1,,,,,,,,
Finland,1999,2D2,,,,,,,,
Finland,1999,2D3,,,,,,,,
Finland,1999,2D4,,,,,,,,
Finland,1999,2E,,,,,,,,
Finland,1999,2E1,,,,,,,,
Finland,1999,2E2,,,,,,,,
Finland,1999,2E3,,,,,,,,
Finland,1999,2E4,,,,,,,,
Finland,1999,2E5,,,,,,,,
Finland,1999,2F,,,,,,,,
Finland,1999,2F1,,,,,,,,
Finland,1999,2F2,,,,,,,,
Finland,1999,2F3,,,,,,,,
Finland,1999,2F4,,,,,,,,
Finland,1999,2F5,,,,,,,,
Finland,1999,2F6,,,,,,,,
Finland,1999,2G,,,,,,,,
Finland,1999,2G1,,,,,,,,
Finland,1999,2G2,,,,,,,,
Finland,1999,2G3,,,,,,,,
Finland,1999,2G4,,,,,,,,
Finland,1999,2H,,,,,,,,
Finland,1999,2H1,,,,,,,,
Finland,1999,2H2,,,,,,,,
Finland,1999,2H3,,,,,,,,
Finland,1999,3A,,,,,,,,
Finland,1999,3A1,,,,,,,,
Finland,1999,3A2,,,,,,,,
Finland,1999,3B,,,,,,,,
Finland,1999,3B1,,,,,,,,
Finland,1999,3B1A,,,,,,,,
Finland,1999,3B1B,,,,,,,,
Finland,1999,3B2,,,,,,,,
Finland,1999,3B2A,,,,,,,,
Finland,1999,3B2B,,,,,,,,
Finland,1999,3B3,,,,,,,,
Finland,1999,3B3A,,,,,,,,
Finland,1999,3B3B,,,,,,,,
Finland,1999,3B4,,,,,,,,
Finland,1999,3B4A,,,,,,,,
Finland,1999,3B4B,,,,,,,,
Finland,1999,3B5,,,,,,,,
Finland,1999,3B5A,,,,,,,,
Finland,1999,3B5B,,,,,,,,
Finland,1999,3B6,,,,,,,,
Finland,1999,3B6A,,,,,,,,
Finland,1999,3B6B,,,,,,,,
Finland,1999,3B6B1,,,,,,,,
Finland,1999,3B6B2,,,,,,,,
Finland,1999,3B6B3,,,,,,,,
Finland,1999,3B6B4,,,,,,,,
Finland,1999,3B6B5,,,,,,,,
Finland,1999,3C,,,,,,,,
Finland,1999,3C1,,,,,,,,
Finland,1999,3C2,,,,,,,,
Finland,1999,3C3,,,,,,,,
Finland,1999,3C4,,,,,,,,
Finland,1999,3C5,,,,,,,,
Finland,1999,3C6,,,,,,,,
Finland,1999,3C7,,,,,,,,
Finland,1999,3C8,,,,,,,,
Finland,1999,3D,,,,,,,,
Finland,1999,3D1,,,,,,,,
Finland,1999,3D2,,,,,,,,
Finland,1999,4A,,,,,,,,
Finland,1999,4A1,,,,,,,,
Finland,1999,4A2,,,,,,,,
Finland,1999,4A3,,,,,,,,
Finland,1999,4B,,,,,,,,
Finland,1999,4C,,,,,,,,
Finland,1999,4C1,,,,,,,,
Finland,1999,4C2,,,,,,,,
Finland,1999,4D,,,,,,,,
Finland,1999,4D1,,,,,,,,
Finland,1999,4D2,,,,,,,,
Finland,1999,4E,,,,,,,,
Finland,1999,5A,,,,,,,,
Finland,1999,5A1,,,,,,,,
Finland,1999,5A2,,,,,,,,
Finland,2000,0,,,,,,,,
Finland,2000,1,,,,,,,,
Finland,2000,2,,,,,,,,
Finland,2000,3,,,,,,,,
Finland,2000,4,,,,,,,,
Finland,2000,5,,,,,,,,
Finland,2000,1A,Coal,,,,,,,
Finland,2000,1A,Natural gas,,,,,,,
Finland,2000,1A,Oil,,,,,,,
Finland,2000,1A1,Coal,,,,,,,
Finland,2000,1A1,Natural gas,,,,,,,
Finland,2000,1A1,Oil,,,,,,,
Finland,2000,1A1A,Coal,,,,,,,
Finland,2000,1A1A,Natural gas,,,,,,,
Finland,2000,1A1A,Oil,,,,,,,
Finland,2000,1A1A1,Coal,,,,,,,
Finland,2000,1A1A1,Natural gas,,,,,,,
Finland,2000,1A1A1,Oil,,,,,,,
Finland,2000,1A1A2,Coal,,,,,,,
Finland,2000,1A1A2,Natural gas,,,,,,,
Finland,2000,1A1A2,Oil,,,,,,,
Finland,2000,1A1A3,Coal,,,,,,,
Finland,2000,1A1A3,Natural gas,,,,,,,
Finland,2000,1A1A3,Oil,,,,,,,
Finland,2000,1A1B,Coal,,,,,,,
Finland,2000,1A1B,Natural gas,,,,,,,
Finland,2000,1A1B,Oil,,,,,,,
Finland,2000,1A1C,Coal,,,,,,,
Finland,2000,1A1C,Natural gas,,,,,,,
Finland,2000,1A1C,Oil,,,,,,,
Finland,2000,1A2,Coal,,,,,,,
Finland,2000,1A2,Natural gas,,,,,,,
Finland,2000,1A2,Oil,,,,,,,
Finland,2000,1A2A,Coal,,,,,,,
Finland,2000,1A2A,Natural gas,,,,,,,
Finland,2000,1A2A,Oil,,,,,,,
Finland,2000,1A2B,Coal,,,,,,,
Finland,2000,1A2B,Natural gas,,,,,,,
Finland,2000,1A2B,Oil,,,,,,,
Finland,2000,1A2C,Coal,,,,,,,
Finland,2000,1A2C,Natural gas,,,,,,,
Finland,2000,1A2C,Oil,,,,,,,
Finland,2000,1A2D,Coal,,,,,,,
Finland,2000,1A2D,Natural gas,,,,,,,
Finland,2000,1A2D,Oil,,,,,,,
Finland,2000,1A2E,Coal,,,,,,,
Finland,2000,1A2E,Natural gas,,,,,,,
Finland,2000,1A2E,Oil,,,,,,,
Finland,2000,1A2F,Coal,,,,,,,
Finland,2000,1A2F,Natural gas,,,,,,,
Finland,2000,1A2F,Oil,,,,,,,
Finland,2000,1A2G,Coal,,,,,,,
Finland,2000,1A2G,Natural gas,,,,,,,
Finland,2000,1A2G,Oil,,,,,,,
Finland,2000,1A2H,Coal,,,,,,,
Finland,2000,1A2H,Natural gas,,,,,,,
Finland,2000,1A2H,Oil,,,,,,,
Finland,2000,1A2I,Coal,,,,,,,
Finland,2000,1A2I,Natural gas,,,,,,,
Finland,2000,1A2I,Oil,,,,,,,
Finland,2000,1A2J,Coal,,,,,,,
Finland,2000,1A2J,Natural gas,,,,,,,
Finland,2000,1A2J,Oil,,,,,,,
Finland,2000,1A2K,Coal,,,,,,,
Finland,2000,1A2K,Natural gas,,,,,,,
Finland,2000,1A2K,Oil,,,,,,,
Finland,2000,1A2L,Coal,,,,,,,
Finland,2000,1A2L,Natural gas,,,,,,,
Finland,2000,1A2L,Oil,,,,,,,
Finland,2000,1A2M,Coal,,,,,,,
Finland,2000,1A2M,Natural gas,,,,,,,
Finland,2000,1A2M,Oil,,,,,,,
Finland,2000,1A3,Coal,,,,,,,
Finland,2000,1A3,Natural gas,,,,,,,
Finland,2000,1A3,Oil,,,,,,,
Finland,2000,1A3A,Coal,,,,,,,
Finland,2000,1A3A,Natural gas,,,,,,,
Finland,2000,1A3A,Oil,,,,,,,
Finland,2000,1A3A1,Coal,,,,,,,
Finland,2000,1A3A1,Natural gas,,,,,,,
Finland,2000,1A3A1,Oil,,,,,,,
Finland,2000,1A3A2,Coal,,,,,,,
Finland,2000,1A3A2,Natural gas,,,,,,,
Finland,2000,1A3A2,Oil,,,,,,,
Finland,2000,1A3B,Coal,,,,,,,
Finland,2000,1A3B,Natural gas,,,,,,,
Finland,2000,1A3B,Oil,,,,,,,
Finland,2000,1A3C,Coal,,,,,,,
Finland,2000,1A3C,Natural gas,,,,,,,
Finland,2000,1A3C,Oil,,,,,,,
Finland,2000,1A3D,Coal,,,,,,,
Finland,2000,1A3D,Natural gas,,,,,,,
Finland,2000,1A3D,Oil,,,,,,,
Finland,2000,1A3D1,Coal,,,,,,,
Finland,2000,1A3D1,Natural gas,,,,,,,
Finland,2000,1A3D1,Oil,,,,,,,
Finland,2000,1A3D2,Coal,,,,,,,
Finland,2000,1A3D2,Natural gas,,,,,,,
Finland,2000,1A3D2,Oil,,,,,,,
Finland,2000,1A3E,Coal,,,,,,,
Finland,2000,1A3E,Natural gas,,,,,,,
Finland,2000,1A3E,Oil,,,,,,,
Finland,2000,1A3E1,Coal,,,,,,,
Finland,2000,1A3E1,Natural gas,,,,,,,
Finland,2000,1A3E1,Oil,,,,,,,
Finland,2000,1A4,Coal,,,,,,,
Finland,2000,1A4,Natural gas,,,,,,,
Finland,2000,1A4,Oil,,,,,,,
Finland,2000,1A4A,Coal,,,,,,,
Finland,2000,1A4A,Natural gas,,,,,,,
Finland,2000,1A4A,Oil,,,,,,,
Finland,2000,1A4B,Coal,,,,,,,
Finland,2000,1A4B,Natural gas,,,,,,,
Finland,2000,1A4B,Oil,,,,,,,
Finland,2000,1A4C,Coal,,,,,,,
Finland,2000,1A4C,Natural gas,,,,,,,
Finland,2000,1A4C,Oil,,,,,,,
Finland,2000,1A4C1,Coal,,,,,,,
Finland,2000,1A4C1,Natural gas,,,,,,,
Finland,2000,1A4C1,Oil,,,,,,,
Finland,2000,1A4C2,Coal,,,,,,,
Finland,2000,1A4C2,Natural gas,,,,,,,
Finland,2000,1A4C2,Oil,,,,,,,
Finland,2000,1A4C3,Coal,,,,,,,
Finland,2000,1A4C3,Natural gas,,,,,,,
Finland,2000,1A4C3,Oil,,,,,,,
Finland,2000,1A5,Coal,,,,,,,
Finland,2000,1A5,Natural gas,,,,,,,
Finland,2000,1A5,Oil,,,,,,,
Finland,2000,1A5A,Coal,,,,,,,
Finland,2000,1A5A,Natural gas,,,,,,,
Finland,2000,1A5A,Oil,,,,,,,
Finland,2000,1A5B,Coal,,,,,,,
Finland,2000,1A5B,Natural gas,,,,,,,
Finland,2000,1A5B,Oil,,,,,,,
Finland,2000,1A5C,Coal,,,,,,,
Finland,2000,1A5C,Natural gas,,,,,,,
Finland,2000,1A5C,Oil,,,,,,,
Finland,2000,1B,,,,,,,,
Finland,2000,1B1,,,,,,,,
Finland,2000,1B1A,,,,,,,,
Finland,2000,1B1A1,,,,,,,,
Finland,2000,1B1A11,,,,,,,,
Finland,2000,1B1A12,,,,,,,,
Finland,2000,1B1A13,,,,,,,,
Finland,2000,1B1A14,,,,,,,,
Finland,2000,1B1A2,,,,,,,,
Finland,2000,1B1A21,,,,,,,,
Finland,2000,1B1A22,,,,,,,,
Finland,2000,1B1B,,,,,,,,
Finland,2000,1B2,,,,,,,,
Finland,2000,1B2A,,,,,,,,
Finland,2000,1B2A1,,,,,,,,
Finland,2000,1B2A2,,,,,,,,
Finland,2000,1B2A3,,,,,,,,
Finland,2000,1B2A31,,,,,,,,
Finland,2000,1B2A32,,,,,,,,
Finland,2000,1B2A33,,,,,,,,
Finland,2000,1B2A34,,,,,,,,
Finland,2000,1B2A35,,,,,,,,
Finland,2000,1B2A36,,,,,,,,
Finland,2000,1B2B,,,,,,,,
Finland,2000,1B2B1,,,,,,,,
Finland,2000,1B2B2,,,,,,,,
Finland,2000,1B2B3,,,,,,,,
Finland,2000,1B2B31,,,,,,,,
Finland,2000,1B2B32,,,,,,,,
Finland,2000,1B2B33,,,,,,,,
Finland,2000,1B2B34,,,,,,,,
Finland,2000,1B2B35,,,,,,,,
Finland,2000,1B2B36,,,,,,,,
Finland,2000,1B3,,,,,,,,
Finland,2000,1C,,,,,,,,
Finland,2000,1C1,,,,,,,,
Finland,2000,1C1A,,,,,,,,
Finland,2000,1C1B,,,,,,,,
Finland,2000,1C1C,,,,,,,,
Finland,2000,1C2,,,,,,,,
Finland,2000,1C2A,,,,,,,,
Finland,2000,1C2B,,,,,,,,
Finland,2000,1C3,,,,,,,,
Finland,2000,2A,,,,,,,,
Finland,2000,2A1,,,,,,,,
Finland,2000,2A2,,,,,,,,
Finland,2000,2A3,,,,,,,,
Finland,2000,2A4,,,,,,,,
Finland,2000,2A4A,,,,,,,,
Finland,2000,2A4B,,,,,,,,
Finland,2000,2A4C,,,,,,,,
Finland,2000,2A4D,,,,,,,,
Finland,2000,2B,,,,,,,,
Finland,2000,2B1,,,,,,,,
Finland,2000,2B10,,,,,,,,
Finland,2000,2B2,,,,,,,,
Finland,2000,2B3,,,,,,,,
Finland,2000,2B4,,,,,,,,
Finland,2000,2B5,,,,,,,,
Finland,2000,2B6,,,,,,,,
Finland,2000,2B7,,,,,,,,
Finland,2000,2B8,,,,,,,,
Finland,2000,2B8A,,,,,,,,
Finland,2000,2B8B,,,,,,,,
Finland,2000,2B8C,,,,,,,,
Finland,2000,2B8D,,,,,,,,
Finland,2000,2B8E,,,,,,,,
Finland,2000,2B8F,,,,,,,,
Finland,2000,2B9,,,,,,,,
Finland,2000,2B9A,,,,,,,,
Finland,2000,2B9B,,,,,,,,
Finland,2000,2C,,,,,,,,
Finland,2000,2C1,,,,,,,,
Finland,2000,2C2,,,,,,,,
Finland,2000,2C3,,,,,,,,
Finland,2000,2C4,,,,,,,,
Finland,2000,2C5,,,,,,,,
Finland,2000,2C6,,,,,,,,
Finland,2000,2C7,,,,,,,,
Finland,2000,2D,,,,,,,,
Finland,2000,2D1,,,,,,,,
Finland,2000,2D2,,,,,,,,
Finland,2000,2D3,,,,,,,,
Finland,2000,2D4,,,,,,,,
Finland,2000,2E,,,,,,,,
Finland,2000,2E1,,,,,,,,
Finland,2000,2E2,,,,,,,,
Finland,2000,2E3,,,,,,,,
Finland,2000,2E4,,,,,,,,
Finland,2000,2E5,,,,,,,,
Finland,2000,2F,,,,,,,,
Finland,2000,2F1,,,,,,,,
Finland,2000,2F2,,,,,,,,
Finland,2000,2F3,,,,,,,,
Finland,2000,2F4,,,,,,,,
Finland,2000,2F5,,,,,,,,
Finland,2000,2F6,,,,,,,,
Finland,2000,2G,,,,,,,,
Finland,2000,2G1,,,,,,,,
Finland,2000,2G2,,,,,,,,
Finland,2000,2G3,,,,,,,,
Finland,2000,2G4,,,,,,,,
Finland,2000,2H,,,,,,,,
Finland,2000,2H1,,,,,,,,
Finland,2000,2H2,,,,,,,,
Finland,2000,2H3,,,,,,,,
Finland,2000,3A,,,,,,,,
Finland,2000,3A1,,,,,,,,
Finland,2000,3A2,,,,,,,,
Finland,2000,3B,,,,,,,,
Finland,2000,3B1,,,,,,,,
Finland,2000,3B1A,,,,,,,,
Finland,2000,3B1B,,,,,,,,
Finland,2000,3B2,,,,,,,,
Finland,2000,3B2A,,,,,,,,
Finland,2000,3B2B,,,,,,,,
Finland,2000,3B3,,,,,,,,
Finland,2000,3B3A,,,,,,,,
Finland,2000,3B3B,,,,,,,,
Finland,2000,3B4,,,,,,,,
Finland,2000,3B4A,,,,,,,,
Finland,2000,3B4B,,,,,,,,
Finland,2000,3B5,,,,,,,,
Finland,2000,3B5A,,,,,,,,
Finland,2000,3B5B,,,,,,,,
Finland,2000,3B6,,,,,,,,
Finland,2000,3B6A,,,,,,,,
Finland,2000,3B6B,,,,,,,,
Finland,2000,3B6B1,,,,,,,,
Finland,2000,3B6B2,,,,,,,,
Finland,2000,3B6B3,,,,,,,,
Finland,2000,3B6B4,,,,,,,,
Finland,2000,3B6B5,,,,,,,,
Finland,2000,3C,,,,,,,,
Finland,2000,3C1,,,,,,,,
Finland,2000,3C2,,,,,,,,
Finland,2000,3C3,,,,,,,,
Finland,2000,3C4,,,,,,,,
Finland,2000,3C5,,,,,,,,
Finland,2000,3C6,,,,,,,,
Finland,2000,3C7,,,,,,,,
Finland,2000,3C8,,,,,,,,
Finland,2000,3D,,,,,,,,
Finland,2000,3D1,,,,,,,,
Finland,2000,3D2,,,,,,,,
Finland,2000,4A,,,,,,,,
Finland,2000,4A1,,,,,,,,
Finland,2000,4A2,,,,,,,,
Finland,2000,4A3,,,,,,,,
Finland,2000,4B,,,,,,,,
Finland,2000,4C,,,,,,,,
Finland,2000,4C1,,,,,,,,
Finland,2000,4C2,,,,,,,,
Finland,2000,4D,,,,,,,,
Finland,2000,4D1,,,,,,,,
Finland,2000,4D2,,,,,,,,
Finland,2000,4E,,,,,,,,
Finland,2000,5A,,,,,,,,
Finland,2000,5A1,,,,,,,,
Finland,2000,5A2,,,,,,,,
Finland,2001,0,,,,,,,,
Finland,2001,1,,,,,,,,
Finland,2001,2,,,,,,,,
Finland,2001,3,,,,,,,,
Finland,2001,4,,,,,,,,
Finland,2001,5,,,,,,,,
Finland,2001,1A,Coal,,,,,,,
Finland,2001,1A,Natural gas,,,,,,,
Finland,2001,1A,Oil,,,,,,,
Finland,2001,1A1,Coal,,,,,,,
Finland,2001,1A1,Natural gas,,,,,,,
Finland,2001,1A1,Oil,,,,,,,
Finland,2001,1A1A,Coal,,,,,,,
Finland,2001,1A1A,Natural gas,,,,,,,
Finland,2001,1A1A,Oil,,,,,,,
Finland,2001,1A1A1,Coal,,,,,,,
Finland,2001,1A1A1,Natural gas,,,,,,,
Finland,2001,1A1A1,Oil,,,,,,,
Finland,2001,1A1A2,Coal,,,,,,,
Finland,2001,1A1A2,Natural gas,,,,,,,
Finland,2001,1A1A2,Oil,,,,,,,
Finland,2001,1A1A3,Coal,,,,,,,
Finland,2001,1A1A3,Natural gas,,,,,,,
Finland,2001,1A1A3,Oil,,,,,,,
Finland,2001,1A1B,Coal,,,,,,,
Finland,2001,1A1B,Natural gas,,,,,,,
Finland,2001,1A1B,Oil,,,,,,,
Finland,2001,1A1C,Coal,,,,,,,
Finland,2001,1A1C,Natural gas,,,,,,,
Finland,2001,1A1C,Oil,,,,,,,
Finland,2001,1A2,Coal,,,,,,,
Finland,2001,1A2,Natural gas,,,,,,,
