jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Sri Lanka,1996,2E,,,,,,
Sri Lanka,1996,2E1,,,,,,
Sri Lanka,1996,2E2,,,,,,
Sri Lanka,1996,2E3,,,,,,
Sri Lanka,1996,2E4,,,,,,
Sri Lanka,1996,2E5,,,,,,
Sri Lanka,1996,2F,,,,,,
Sri Lanka,1996,2F1,,,,,,
Sri Lanka,1996,2F2,,,,,,
Sri Lanka,1996,2F3,,,,,,
Sri Lanka,1996,2F4,,,,,,
Sri Lanka,1996,2F5,,,,,,
Sri Lanka,1996,2F6,,,,,,
Sri Lanka,1996,2G,,,,,,
Sri Lanka,1996,2G1,,,,,,
Sri Lanka,1996,2G2,,,,,,
Sri Lanka,1996,2G3,,,,,,
Sri Lanka,1996,2G4,,,,,,
Sri Lanka,1996,2H,,,,,,
Sri Lanka,1996,2H1,,,,,,
Sri Lanka,1996,2H2,,,,,,
Sri Lanka,1996,2H3,,,,,,
Sri Lanka,1996,3A,,,,,,
Sri Lanka,1996,3A1,,,,,,
Sri Lanka,1996,3A2,,,,,,
Sri Lanka,1996,3B,,,,,,
Sri Lanka,1996,3B1,,,,,,
Sri Lanka,1996,3B1A,,,,,,
Sri Lanka,1996,3B1B,,,,,,
Sri Lanka,1996,3B2,,,,,,
Sri Lanka,1996,3B2A,,,,,,
Sri Lanka,1996,3B2B,,,,,,
Sri Lanka,1996,3B3,,,,,,
Sri Lanka,1996,3B3A,,,,,,
Sri Lanka,1996,3B3B,,,,,,
Sri Lanka,1996,3B4,,,,,,
Sri Lanka,1996,3B4A,,,,,,
Sri Lanka,1996,3B4B,,,,,,
Sri Lanka,1996,3B5,,,,,,
Sri Lanka,1996,3B5A,,,,,,
Sri Lanka,1996,3B5B,,,,,,
Sri Lanka,1996,3B6,,,,,,
Sri Lanka,1996,3B6A,,,,,,
Sri Lanka,1996,3B6B,,,,,,
Sri Lanka,1996,3B6B1,,,,,,
Sri Lanka,1996,3B6B2,,,,,,
Sri Lanka,1996,3B6B3,,,,,,
Sri Lanka,1996,3B6B4,,,,,,
Sri Lanka,1996,3B6B5,,,,,,
Sri Lanka,1996,3C,,,,,,
Sri Lanka,1996,3C1,,,,,,
Sri Lanka,1996,3C2,,,,,,
Sri Lanka,1996,3C3,,,,,,
Sri Lanka,1996,3C4,,,,,,
Sri Lanka,1996,3C5,,,,,,
Sri Lanka,1996,3C6,,,,,,
Sri Lanka,1996,3C7,,,,,,
Sri Lanka,1996,3C8,,,,,,
Sri Lanka,1996,3D,,,,,,
Sri Lanka,1996,3D1,,,,,,
Sri Lanka,1996,3D2,,,,,,
Sri Lanka,1996,4A,,,,,,
Sri Lanka,1996,4A1,,,,,,
Sri Lanka,1996,4A2,,,,,,
Sri Lanka,1996,4A3,,,,,,
Sri Lanka,1996,4B,,,,,,
Sri Lanka,1996,4C,,,,,,
Sri Lanka,1996,4C1,,,,,,
Sri Lanka,1996,4C2,,,,,,
Sri Lanka,1996,4D,,,,,,
Sri Lanka,1996,4D1,,,,,,
Sri Lanka,1996,4D2,,,,,,
Sri Lanka,1996,4E,,,,,,
Sri Lanka,1996,5A,,,,,,
Sri Lanka,1996,5A1,,,,,,
Sri Lanka,1996,5A2,,,,,,
Sri Lanka,1997,0,,,,,,
Sri Lanka,1997,1,,,,,,
Sri Lanka,1997,2,,,,,,
Sri Lanka,1997,3,,,,,,
Sri Lanka,1997,4,,,,,,
Sri Lanka,1997,5,,,,,,
Sri Lanka,1997,1A,Coal,,,,,
Sri Lanka,1997,1A,Natural gas,,,,,
Sri Lanka,1997,1A,Oil,,,,,
Sri Lanka,1997,1A1,Coal,,,,,
Sri Lanka,1997,1A1,Natural gas,,,,,
Sri Lanka,1997,1A1,Oil,,,,,
Sri Lanka,1997,1A1A,Coal,,,,,
Sri Lanka,1997,1A1A,Natural gas,,,,,
Sri Lanka,1997,1A1A,Oil,,,,,
Sri Lanka,1997,1A1A1,Coal,,,,,
Sri Lanka,1997,1A1A1,Natural gas,,,,,
Sri Lanka,1997,1A1A1,Oil,,,,,
Sri Lanka,1997,1A1A2,Coal,,,,,
Sri Lanka,1997,1A1A2,Natural gas,,,,,
Sri Lanka,1997,1A1A2,Oil,,,,,
Sri Lanka,1997,1A1A3,Coal,,,,,
Sri Lanka,1997,1A1A3,Natural gas,,,,,
Sri Lanka,1997,1A1A3,Oil,,,,,
Sri Lanka,1997,1A1B,Coal,,,,,
Sri Lanka,1997,1A1B,Natural gas,,,,,
Sri Lanka,1997,1A1B,Oil,,,,,
Sri Lanka,1997,1A1C,Coal,,,,,
Sri Lanka,1997,1A1C,Natural gas,,,,,
Sri Lanka,1997,1A1C,Oil,,,,,
Sri Lanka,1997,1A2,Coal,,,,,
Sri Lanka,1997,1A2,Natural gas,,,,,
Sri Lanka,1997,1A2,Oil,,,,,
Sri Lanka,1997,1A2A,Coal,,,,,
Sri Lanka,1997,1A2A,Natural gas,,,,,
Sri Lanka,1997,1A2A,Oil,,,,,
Sri Lanka,1997,1A2B,Coal,,,,,
Sri Lanka,1997,1A2B,Natural gas,,,,,
Sri Lanka,1997,1A2B,Oil,,,,,
Sri Lanka,1997,1A2C,Coal,,,,,
Sri Lanka,1997,1A2C,Natural gas,,,,,
Sri Lanka,1997,1A2C,Oil,,,,,
Sri Lanka,1997,1A2D,Coal,,,,,
Sri Lanka,1997,1A2D,Natural gas,,,,,
Sri Lanka,1997,1A2D,Oil,,,,,
Sri Lanka,1997,1A2E,Coal,,,,,
Sri Lanka,1997,1A2E,Natural gas,,,,,
Sri Lanka,1997,1A2E,Oil,,,,,
Sri Lanka,1997,1A2F,Coal,,,,,
Sri Lanka,1997,1A2F,Natural gas,,,,,
Sri Lanka,1997,1A2F,Oil,,,,,
Sri Lanka,1997,1A2G,Coal,,,,,
Sri Lanka,1997,1A2G,Natural gas,,,,,
Sri Lanka,1997,1A2G,Oil,,,,,
Sri Lanka,1997,1A2H,Coal,,,,,
Sri Lanka,1997,1A2H,Natural gas,,,,,
Sri Lanka,1997,1A2H,Oil,,,,,
Sri Lanka,1997,1A2I,Coal,,,,,
Sri Lanka,1997,1A2I,Natural gas,,,,,
Sri Lanka,1997,1A2I,Oil,,,,,
Sri Lanka,1997,1A2J,Coal,,,,,
Sri Lanka,1997,1A2J,Natural gas,,,,,
Sri Lanka,1997,1A2J,Oil,,,,,
Sri Lanka,1997,1A2K,Coal,,,,,
Sri Lanka,1997,1A2K,Natural gas,,,,,
Sri Lanka,1997,1A2K,Oil,,,,,
Sri Lanka,1997,1A2L,Coal,,,,,
Sri Lanka,1997,1A2L,Natural gas,,,,,
Sri Lanka,1997,1A2L,Oil,,,,,
Sri Lanka,1997,1A2M,Coal,,,,,
Sri Lanka,1997,1A2M,Natural gas,,,,,
Sri Lanka,1997,1A2M,Oil,,,,,
Sri Lanka,1997,1A3,Coal,,,,,
Sri Lanka,1997,1A3,Natural gas,,,,,
Sri Lanka,1997,1A3,Oil,,,,,
Sri Lanka,1997,1A3A,Coal,,,,,
Sri Lanka,1997,1A3A,Natural gas,,,,,
Sri Lanka,1997,1A3A,Oil,,,,,
Sri Lanka,1997,1A3A1,Coal,,,,,
Sri Lanka,1997,1A3A1,Natural gas,,,,,
Sri Lanka,1997,1A3A1,Oil,,,,,
Sri Lanka,1997,1A3A2,Coal,,,,,
Sri Lanka,1997,1A3A2,Natural gas,,,,,
Sri Lanka,1997,1A3A2,Oil,,,,,
Sri Lanka,1997,1A3B,Coal,,,,,
Sri Lanka,1997,1A3B,Natural gas,,,,,
Sri Lanka,1997,1A3B,Oil,,,,,
Sri Lanka,1997,1A3C,Coal,,,,,
Sri Lanka,1997,1A3C,Natural gas,,,,,
Sri Lanka,1997,1A3C,Oil,,,,,
Sri Lanka,1997,1A3D,Coal,,,,,
Sri Lanka,1997,1A3D,Natural gas,,,,,
Sri Lanka,1997,1A3D,Oil,,,,,
Sri Lanka,1997,1A3D1,Coal,,,,,
Sri Lanka,1997,1A3D1,Natural gas,,,,,
Sri Lanka,1997,1A3D1,Oil,,,,,
Sri Lanka,1997,1A3D2,Coal,,,,,
Sri Lanka,1997,1A3D2,Natural gas,,,,,
Sri Lanka,1997,1A3D2,Oil,,,,,
Sri Lanka,1997,1A3E,Coal,,,,,
Sri Lanka,1997,1A3E,Natural gas,,,,,
Sri Lanka,1997,1A3E,Oil,,,,,
Sri Lanka,1997,1A3E1,Coal,,,,,
Sri Lanka,1997,1A3E1,Natural gas,,,,,
Sri Lanka,1997,1A3E1,Oil,,,,,
Sri Lanka,1997,1A4,Coal,,,,,
Sri Lanka,1997,1A4,Natural gas,,,,,
Sri Lanka,1997,1A4,Oil,,,,,
Sri Lanka,1997,1A4A,Coal,,,,,
Sri Lanka,1997,1A4A,Natural gas,,,,,
Sri Lanka,1997,1A4A,Oil,,,,,
Sri Lanka,1997,1A4B,Coal,,,,,
Sri Lanka,1997,1A4B,Natural gas,,,,,
Sri Lanka,1997,1A4B,Oil,,,,,
Sri Lanka,1997,1A4C,Coal,,,,,
Sri Lanka,1997,1A4C,Natural gas,,,,,
Sri Lanka,1997,1A4C,Oil,,,,,
Sri Lanka,1997,1A4C1,Coal,,,,,
Sri Lanka,1997,1A4C1,Natural gas,,,,,
Sri Lanka,1997,1A4C1,Oil,,,,,
Sri Lanka,1997,1A4C2,Coal,,,,,
Sri Lanka,1997,1A4C2,Natural gas,,,,,
Sri Lanka,1997,1A4C2,Oil,,,,,
Sri Lanka,1997,1A4C3,Coal,,,,,
Sri Lanka,1997,1A4C3,Natural gas,,,,,
Sri Lanka,1997,1A4C3,Oil,,,,,
Sri Lanka,1997,1A5,Coal,,,,,
Sri Lanka,1997,1A5,Natural gas,,,,,
Sri Lanka,1997,1A5,Oil,,,,,
Sri Lanka,1997,1A5A,Coal,,,,,
Sri Lanka,1997,1A5A,Natural gas,,,,,
Sri Lanka,1997,1A5A,Oil,,,,,
Sri Lanka,1997,1A5B,Coal,,,,,
Sri Lanka,1997,1A5B,Natural gas,,,,,
Sri Lanka,1997,1A5B,Oil,,,,,
Sri Lanka,1997,1A5C,Coal,,,,,
Sri Lanka,1997,1A5C,Natural gas,,,,,
Sri Lanka,1997,1A5C,Oil,,,,,
Sri Lanka,1997,1B,,,,,,
Sri Lanka,1997,1B1,,,,,,
Sri Lanka,1997,1B1A,,,,,,
Sri Lanka,1997,1B1A1,,,,,,
Sri Lanka,1997,1B1A11,,,,,,
Sri Lanka,1997,1B1A12,,,,,,
Sri Lanka,1997,1B1A13,,,,,,
Sri Lanka,1997,1B1A14,,,,,,
Sri Lanka,1997,1B1A2,,,,,,
Sri Lanka,1997,1B1A21,,,,,,
Sri Lanka,1997,1B1A22,,,,,,
Sri Lanka,1997,1B1B,,,,,,
Sri Lanka,1997,1B2,,,,,,
Sri Lanka,1997,1B2A,,,,,,
Sri Lanka,1997,1B2A1,,,,,,
Sri Lanka,1997,1B2A2,,,,,,
Sri Lanka,1997,1B2A3,,,,,,
Sri Lanka,1997,1B2A31,,,,,,
Sri Lanka,1997,1B2A32,,,,,,
Sri Lanka,1997,1B2A33,,,,,,
Sri Lanka,1997,1B2A34,,,,,,
Sri Lanka,1997,1B2A35,,,,,,
Sri Lanka,1997,1B2A36,,,,,,
Sri Lanka,1997,1B2B,,,,,,
Sri Lanka,1997,1B2B1,,,,,,
Sri Lanka,1997,1B2B2,,,,,,
Sri Lanka,1997,1B2B3,,,,,,
Sri Lanka,1997,1B2B31,,,,,,
Sri Lanka,1997,1B2B32,,,,,,
Sri Lanka,1997,1B2B33,,,,,,
Sri Lanka,1997,1B2B34,,,,,,
Sri Lanka,1997,1B2B35,,,,,,
Sri Lanka,1997,1B2B36,,,,,,
Sri Lanka,1997,1B3,,,,,,
Sri Lanka,1997,1C,,,,,,
Sri Lanka,1997,1C1,,,,,,
Sri Lanka,1997,1C1A,,,,,,
Sri Lanka,1997,1C1B,,,,,,
Sri Lanka,1997,1C1C,,,,,,
Sri Lanka,1997,1C2,,,,,,
Sri Lanka,1997,1C2A,,,,,,
Sri Lanka,1997,1C2B,,,,,,
Sri Lanka,1997,1C3,,,,,,
Sri Lanka,1997,2A,,,,,,
Sri Lanka,1997,2A1,,,,,,
Sri Lanka,1997,2A2,,,,,,
Sri Lanka,1997,2A3,,,,,,
Sri Lanka,1997,2A4,,,,,,
Sri Lanka,1997,2A4A,,,,,,
Sri Lanka,1997,2A4B,,,,,,
Sri Lanka,1997,2A4C,,,,,,
Sri Lanka,1997,2A4D,,,,,,
Sri Lanka,1997,2B,,,,,,
Sri Lanka,1997,2B1,,,,,,
Sri Lanka,1997,2B10,,,,,,
Sri Lanka,1997,2B2,,,,,,
Sri Lanka,1997,2B3,,,,,,
Sri Lanka,1997,2B4,,,,,,
Sri Lanka,1997,2B5,,,,,,
Sri Lanka,1997,2B6,,,,,,
Sri Lanka,1997,2B7,,,,,,
Sri Lanka,1997,2B8,,,,,,
Sri Lanka,1997,2B8A,,,,,,
Sri Lanka,1997,2B8B,,,,,,
Sri Lanka,1997,2B8C,,,,,,
Sri Lanka,1997,2B8D,,,,,,
Sri Lanka,1997,2B8E,,,,,,
Sri Lanka,1997,2B8F,,,,,,
Sri Lanka,1997,2B9,,,,,,
Sri Lanka,1997,2B9A,,,,,,
Sri Lanka,1997,2B9B,,,,,,
Sri Lanka,1997,2C,,,,,,
Sri Lanka,1997,2C1,,,,,,
Sri Lanka,1997,2C2,,,,,,
Sri Lanka,1997,2C3,,,,,,
Sri Lanka,1997,2C4,,,,,,
Sri Lanka,1997,2C5,,,,,,
Sri Lanka,1997,2C6,,,,,,
Sri Lanka,1997,2C7,,,,,,
Sri Lanka,1997,2D,,,,,,
Sri Lanka,1997,2D1,,,,,,
Sri Lanka,1997,2D2,,,,,,
Sri Lanka,1997,2D3,,,,,,
Sri Lanka,1997,2D4,,,,,,
Sri Lanka,1997,2E,,,,,,
Sri Lanka,1997,2E1,,,,,,
Sri Lanka,1997,2E2,,,,,,
Sri Lanka,1997,2E3,,,,,,
Sri Lanka,1997,2E4,,,,,,
Sri Lanka,1997,2E5,,,,,,
Sri Lanka,1997,2F,,,,,,
Sri Lanka,1997,2F1,,,,,,
Sri Lanka,1997,2F2,,,,,,
Sri Lanka,1997,2F3,,,,,,
Sri Lanka,1997,2F4,,,,,,
Sri Lanka,1997,2F5,,,,,,
Sri Lanka,1997,2F6,,,,,,
Sri Lanka,1997,2G,,,,,,
Sri Lanka,1997,2G1,,,,,,
Sri Lanka,1997,2G2,,,,,,
Sri Lanka,1997,2G3,,,,,,
Sri Lanka,1997,2G4,,,,,,
Sri Lanka,1997,2H,,,,,,
Sri Lanka,1997,2H1,,,,,,
Sri Lanka,1997,2H2,,,,,,
Sri Lanka,1997,2H3,,,,,,
Sri Lanka,1997,3A,,,,,,
Sri Lanka,1997,3A1,,,,,,
Sri Lanka,1997,3A2,,,,,,
Sri Lanka,1997,3B,,,,,,
Sri Lanka,1997,3B1,,,,,,
Sri Lanka,1997,3B1A,,,,,,
Sri Lanka,1997,3B1B,,,,,,
Sri Lanka,1997,3B2,,,,,,
Sri Lanka,1997,3B2A,,,,,,
Sri Lanka,1997,3B2B,,,,,,
Sri Lanka,1997,3B3,,,,,,
Sri Lanka,1997,3B3A,,,,,,
Sri Lanka,1997,3B3B,,,,,,
Sri Lanka,1997,3B4,,,,,,
Sri Lanka,1997,3B4A,,,,,,
Sri Lanka,1997,3B4B,,,,,,
Sri Lanka,1997,3B5,,,,,,
Sri Lanka,1997,3B5A,,,,,,
Sri Lanka,1997,3B5B,,,,,,
Sri Lanka,1997,3B6,,,,,,
Sri Lanka,1997,3B6A,,,,,,
Sri Lanka,1997,3B6B,,,,,,
Sri Lanka,1997,3B6B1,,,,,,
Sri Lanka,1997,3B6B2,,,,,,
Sri Lanka,1997,3B6B3,,,,,,
Sri Lanka,1997,3B6B4,,,,,,
Sri Lanka,1997,3B6B5,,,,,,
Sri Lanka,1997,3C,,,,,,
Sri Lanka,1997,3C1,,,,,,
Sri Lanka,1997,3C2,,,,,,
Sri Lanka,1997,3C3,,,,,,
Sri Lanka,1997,3C4,,,,,,
Sri Lanka,1997,3C5,,,,,,
Sri Lanka,1997,3C6,,,,,,
Sri Lanka,1997,3C7,,,,,,
Sri Lanka,1997,3C8,,,,,,
Sri Lanka,1997,3D,,,,,,
Sri Lanka,1997,3D1,,,,,,
Sri Lanka,1997,3D2,,,,,,
Sri Lanka,1997,4A,,,,,,
Sri Lanka,1997,4A1,,,,,,
Sri Lanka,1997,4A2,,,,,,
Sri Lanka,1997,4A3,,,,,,
Sri Lanka,1997,4B,,,,,,
Sri Lanka,1997,4C,,,,,,
Sri Lanka,1997,4C1,,,,,,
Sri Lanka,1997,4C2,,,,,,
Sri Lanka,1997,4D,,,,,,
Sri Lanka,1997,4D1,,,,,,
Sri Lanka,1997,4D2,,,,,,
Sri Lanka,1997,4E,,,,,,
Sri Lanka,1997,5A,,,,,,
Sri Lanka,1997,5A1,,,,,,
Sri Lanka,1997,5A2,,,,,,
Sri Lanka,1998,0,,,,,,
Sri Lanka,1998,1,,,,,,
Sri Lanka,1998,2,,,,,,
Sri Lanka,1998,3,,,,,,
Sri Lanka,1998,4,,,,,,
Sri Lanka,1998,5,,,,,,
Sri Lanka,1998,1A,Coal,,,,,
Sri Lanka,1998,1A,Natural gas,,,,,
Sri Lanka,1998,1A,Oil,,,,,
Sri Lanka,1998,1A1,Coal,,,,,
Sri Lanka,1998,1A1,Natural gas,,,,,
Sri Lanka,1998,1A1,Oil,,,,,
Sri Lanka,1998,1A1A,Coal,,,,,
Sri Lanka,1998,1A1A,Natural gas,,,,,
Sri Lanka,1998,1A1A,Oil,,,,,
Sri Lanka,1998,1A1A1,Coal,,,,,
Sri Lanka,1998,1A1A1,Natural gas,,,,,
Sri Lanka,1998,1A1A1,Oil,,,,,
Sri Lanka,1998,1A1A2,Coal,,,,,
Sri Lanka,1998,1A1A2,Natural gas,,,,,
Sri Lanka,1998,1A1A2,Oil,,,,,
Sri Lanka,1998,1A1A3,Coal,,,,,
Sri Lanka,1998,1A1A3,Natural gas,,,,,
Sri Lanka,1998,1A1A3,Oil,,,,,
Sri Lanka,1998,1A1B,Coal,,,,,
Sri Lanka,1998,1A1B,Natural gas,,,,,
Sri Lanka,1998,1A1B,Oil,,,,,
Sri Lanka,1998,1A1C,Coal,,,,,
Sri Lanka,1998,1A1C,Natural gas,,,,,
Sri Lanka,1998,1A1C,Oil,,,,,
Sri Lanka,1998,1A2,Coal,,,,,
Sri Lanka,1998,1A2,Natural gas,,,,,
Sri Lanka,1998,1A2,Oil,,,,,
Sri Lanka,1998,1A2A,Coal,,,,,
Sri Lanka,1998,1A2A,Natural gas,,,,,
Sri Lanka,1998,1A2A,Oil,,,,,
Sri Lanka,1998,1A2B,Coal,,,,,
Sri Lanka,1998,1A2B,Natural gas,,,,,
Sri Lanka,1998,1A2B,Oil,,,,,
Sri Lanka,1998,1A2C,Coal,,,,,
Sri Lanka,1998,1A2C,Natural gas,,,,,
Sri Lanka,1998,1A2C,Oil,,,,,
Sri Lanka,1998,1A2D,Coal,,,,,
Sri Lanka,1998,1A2D,Natural gas,,,,,
Sri Lanka,1998,1A2D,Oil,,,,,
Sri Lanka,1998,1A2E,Coal,,,,,
Sri Lanka,1998,1A2E,Natural gas,,,,,
Sri Lanka,1998,1A2E,Oil,,,,,
Sri Lanka,1998,1A2F,Coal,,,,,
Sri Lanka,1998,1A2F,Natural gas,,,,,
Sri Lanka,1998,1A2F,Oil,,,,,
Sri Lanka,1998,1A2G,Coal,,,,,
Sri Lanka,1998,1A2G,Natural gas,,,,,
Sri Lanka,1998,1A2G,Oil,,,,,
Sri Lanka,1998,1A2H,Coal,,,,,
Sri Lanka,1998,1A2H,Natural gas,,,,,
Sri Lanka,1998,1A2H,Oil,,,,,
Sri Lanka,1998,1A2I,Coal,,,,,
Sri Lanka,1998,1A2I,Natural gas,,,,,
Sri Lanka,1998,1A2I,Oil,,,,,
Sri Lanka,1998,1A2J,Coal,,,,,
Sri Lanka,1998,1A2J,Natural gas,,,,,
Sri Lanka,1998,1A2J,Oil,,,,,
Sri Lanka,1998,1A2K,Coal,,,,,
Sri Lanka,1998,1A2K,Natural gas,,,,,
Sri Lanka,1998,1A2K,Oil,,,,,
Sri Lanka,1998,1A2L,Coal,,,,,
Sri Lanka,1998,1A2L,Natural gas,,,,,
Sri Lanka,1998,1A2L,Oil,,,,,
Sri Lanka,1998,1A2M,Coal,,,,,
Sri Lanka,1998,1A2M,Natural gas,,,,,
Sri Lanka,1998,1A2M,Oil,,,,,
Sri Lanka,1998,1A3,Coal,,,,,
Sri Lanka,1998,1A3,Natural gas,,,,,
Sri Lanka,1998,1A3,Oil,,,,,
Sri Lanka,1998,1A3A,Coal,,,,,
Sri Lanka,1998,1A3A,Natural gas,,,,,
Sri Lanka,1998,1A3A,Oil,,,,,
Sri Lanka,1998,1A3A1,Coal,,,,,
Sri Lanka,1998,1A3A1,Natural gas,,,,,
Sri Lanka,1998,1A3A1,Oil,,,,,
Sri Lanka,1998,1A3A2,Coal,,,,,
Sri Lanka,1998,1A3A2,Natural gas,,,,,
Sri Lanka,1998,1A3A2,Oil,,,,,
Sri Lanka,1998,1A3B,Coal,,,,,
Sri Lanka,1998,1A3B,Natural gas,,,,,
Sri Lanka,1998,1A3B,Oil,,,,,
Sri Lanka,1998,1A3C,Coal,,,,,
Sri Lanka,1998,1A3C,Natural gas,,,,,
Sri Lanka,1998,1A3C,Oil,,,,,
Sri Lanka,1998,1A3D,Coal,,,,,
Sri Lanka,1998,1A3D,Natural gas,,,,,
Sri Lanka,1998,1A3D,Oil,,,,,
Sri Lanka,1998,1A3D1,Coal,,,,,
Sri Lanka,1998,1A3D1,Natural gas,,,,,
Sri Lanka,1998,1A3D1,Oil,,,,,
Sri Lanka,1998,1A3D2,Coal,,,,,
Sri Lanka,1998,1A3D2,Natural gas,,,,,
Sri Lanka,1998,1A3D2,Oil,,,,,
Sri Lanka,1998,1A3E,Coal,,,,,
Sri Lanka,1998,1A3E,Natural gas,,,,,
Sri Lanka,1998,1A3E,Oil,,,,,
Sri Lanka,1998,1A3E1,Coal,,,,,
Sri Lanka,1998,1A3E1,Natural gas,,,,,
Sri Lanka,1998,1A3E1,Oil,,,,,
Sri Lanka,1998,1A4,Coal,,,,,
Sri Lanka,1998,1A4,Natural gas,,,,,
Sri Lanka,1998,1A4,Oil,,,,,
Sri Lanka,1998,1A4A,Coal,,,,,
Sri Lanka,1998,1A4A,Natural gas,,,,,
Sri Lanka,1998,1A4A,Oil,,,,,
Sri Lanka,1998,1A4B,Coal,,,,,
Sri Lanka,1998,1A4B,Natural gas,,,,,
Sri Lanka,1998,1A4B,Oil,,,,,
Sri Lanka,1998,1A4C,Coal,,,,,
Sri Lanka,1998,1A4C,Natural gas,,,,,
Sri Lanka,1998,1A4C,Oil,,,,,
Sri Lanka,1998,1A4C1,Coal,,,,,
Sri Lanka,1998,1A4C1,Natural gas,,,,,
Sri Lanka,1998,1A4C1,Oil,,,,,
Sri Lanka,1998,1A4C2,Coal,,,,,
Sri Lanka,1998,1A4C2,Natural gas,,,,,
Sri Lanka,1998,1A4C2,Oil,,,,,
Sri Lanka,1998,1A4C3,Coal,,,,,
Sri Lanka,1998,1A4C3,Natural gas,,,,,
Sri Lanka,1998,1A4C3,Oil,,,,,
Sri Lanka,1998,1A5,Coal,,,,,
Sri Lanka,1998,1A5,Natural gas,,,,,
Sri Lanka,1998,1A5,Oil,,,,,
Sri Lanka,1998,1A5A,Coal,,,,,
Sri Lanka,1998,1A5A,Natural gas,,,,,
Sri Lanka,1998,1A5A,Oil,,,,,
Sri Lanka,1998,1A5B,Coal,,,,,
Sri Lanka,1998,1A5B,Natural gas,,,,,
Sri Lanka,1998,1A5B,Oil,,,,,
Sri Lanka,1998,1A5C,Coal,,,,,
Sri Lanka,1998,1A5C,Natural gas,,,,,
Sri Lanka,1998,1A5C,Oil,,,,,
Sri Lanka,1998,1B,,,,,,
Sri Lanka,1998,1B1,,,,,,
Sri Lanka,1998,1B1A,,,,,,
Sri Lanka,1998,1B1A1,,,,,,
Sri Lanka,1998,1B1A11,,,,,,
Sri Lanka,1998,1B1A12,,,,,,
Sri Lanka,1998,1B1A13,,,,,,
Sri Lanka,1998,1B1A14,,,,,,
Sri Lanka,1998,1B1A2,,,,,,
Sri Lanka,1998,1B1A21,,,,,,
Sri Lanka,1998,1B1A22,,,,,,
Sri Lanka,1998,1B1B,,,,,,
Sri Lanka,1998,1B2,,,,,,
Sri Lanka,1998,1B2A,,,,,,
Sri Lanka,1998,1B2A1,,,,,,
Sri Lanka,1998,1B2A2,,,,,,
Sri Lanka,1998,1B2A3,,,,,,
Sri Lanka,1998,1B2A31,,,,,,
Sri Lanka,1998,1B2A32,,,,,,
Sri Lanka,1998,1B2A33,,,,,,
Sri Lanka,1998,1B2A34,,,,,,
Sri Lanka,1998,1B2A35,,,,,,
Sri Lanka,1998,1B2A36,,,,,,
Sri Lanka,1998,1B2B,,,,,,
Sri Lanka,1998,1B2B1,,,,,,
Sri Lanka,1998,1B2B2,,,,,,
Sri Lanka,1998,1B2B3,,,,,,
Sri Lanka,1998,1B2B31,,,,,,
Sri Lanka,1998,1B2B32,,,,,,
Sri Lanka,1998,1B2B33,,,,,,
Sri Lanka,1998,1B2B34,,,,,,
Sri Lanka,1998,1B2B35,,,,,,
Sri Lanka,1998,1B2B36,,,,,,
Sri Lanka,1998,1B3,,,,,,
Sri Lanka,1998,1C,,,,,,
Sri Lanka,1998,1C1,,,,,,
Sri Lanka,1998,1C1A,,,,,,
Sri Lanka,1998,1C1B,,,,,,
Sri Lanka,1998,1C1C,,,,,,
Sri Lanka,1998,1C2,,,,,,
Sri Lanka,1998,1C2A,,,,,,
Sri Lanka,1998,1C2B,,,,,,
Sri Lanka,1998,1C3,,,,,,
Sri Lanka,1998,2A,,,,,,
Sri Lanka,1998,2A1,,,,,,
Sri Lanka,1998,2A2,,,,,,
Sri Lanka,1998,2A3,,,,,,
Sri Lanka,1998,2A4,,,,,,
Sri Lanka,1998,2A4A,,,,,,
Sri Lanka,1998,2A4B,,,,,,
Sri Lanka,1998,2A4C,,,,,,
Sri Lanka,1998,2A4D,,,,,,
Sri Lanka,1998,2B,,,,,,
Sri Lanka,1998,2B1,,,,,,
Sri Lanka,1998,2B10,,,,,,
Sri Lanka,1998,2B2,,,,,,
Sri Lanka,1998,2B3,,,,,,
Sri Lanka,1998,2B4,,,,,,
Sri Lanka,1998,2B5,,,,,,
Sri Lanka,1998,2B6,,,,,,
Sri Lanka,1998,2B7,,,,,,
Sri Lanka,1998,2B8,,,,,,
Sri Lanka,1998,2B8A,,,,,,
Sri Lanka,1998,2B8B,,,,,,
Sri Lanka,1998,2B8C,,,,,,
Sri Lanka,1998,2B8D,,,,,,
Sri Lanka,1998,2B8E,,,,,,
Sri Lanka,1998,2B8F,,,,,,
Sri Lanka,1998,2B9,,,,,,
Sri Lanka,1998,2B9A,,,,,,
Sri Lanka,1998,2B9B,,,,,,
Sri Lanka,1998,2C,,,,,,
Sri Lanka,1998,2C1,,,,,,
Sri Lanka,1998,2C2,,,,,,
Sri Lanka,1998,2C3,,,,,,
Sri Lanka,1998,2C4,,,,,,
Sri Lanka,1998,2C5,,,,,,
Sri Lanka,1998,2C6,,,,,,
Sri Lanka,1998,2C7,,,,,,
Sri Lanka,1998,2D,,,,,,
Sri Lanka,1998,2D1,,,,,,
Sri Lanka,1998,2D2,,,,,,
Sri Lanka,1998,2D3,,,,,,
Sri Lanka,1998,2D4,,,,,,
Sri Lanka,1998,2E,,,,,,
Sri Lanka,1998,2E1,,,,,,
