Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Dominican Republic,2013,1A2,Coal/peat,,,,,
Dominican Republic,2013,1A2,Natural gas,,,,,
Dominican Republic,2013,1A2,Oil,,,,,
Dominican Republic,2013,1A2A,Coal/peat,,,,,
Dominican Republic,2013,1A2A,Natural gas,,,,,
Dominican Republic,2013,1A2A,Oil,,,,,
Dominican Republic,2013,1A2B,Coal/peat,,,,,
Dominican Republic,2013,1A2B,Natural gas,,,,,
Dominican Republic,2013,1A2B,Oil,,,,,
Dominican Republic,2013,1A2C,Coal/peat,,,,,
Dominican Republic,2013,1A2C,Natural gas,,,,,
Dominican Republic,2013,1A2C,Oil,,,,,
Dominican Republic,2013,1A2D,Coal/peat,,,,,
Dominican Republic,2013,1A2D,Natural gas,,,,,
Dominican Republic,2013,1A2D,Oil,,,,,
Dominican Republic,2013,1A2E,Coal/peat,,,,,
Dominican Republic,2013,1A2E,Natural gas,,,,,
Dominican Republic,2013,1A2E,Oil,,,,,
Dominican Republic,2013,1A2F,Coal/peat,,,,,
Dominican Republic,2013,1A2F,Natural gas,,,,,
Dominican Republic,2013,1A2F,Oil,,,,,
Dominican Republic,2013,1A2G,Coal/peat,,,,,
Dominican Republic,2013,1A2G,Natural gas,,,,,
Dominican Republic,2013,1A2G,Oil,,,,,
Dominican Republic,2013,1A2H,Coal/peat,,,,,
Dominican Republic,2013,1A2H,Natural gas,,,,,
Dominican Republic,2013,1A2H,Oil,,,,,
Dominican Republic,2013,1A2I,Coal/peat,,,,,
Dominican Republic,2013,1A2I,Natural gas,,,,,
Dominican Republic,2013,1A2I,Oil,,,,,
Dominican Republic,2013,1A2J,Coal/peat,,,,,
Dominican Republic,2013,1A2J,Natural gas,,,,,
Dominican Republic,2013,1A2J,Oil,,,,,
Dominican Republic,2013,1A2K,Coal/peat,,,,,
Dominican Republic,2013,1A2K,Natural gas,,,,,
Dominican Republic,2013,1A2K,Oil,,,,,
Dominican Republic,2013,1A2L,Coal/peat,,,,,
Dominican Republic,2013,1A2L,Natural gas,,,,,
Dominican Republic,2013,1A2L,Oil,,,,,
Dominican Republic,2013,1A2M,Coal/peat,,,,,
Dominican Republic,2013,1A2M,Natural gas,,,,,
Dominican Republic,2013,1A2M,Oil,,,,,
Dominican Republic,2013,1A3,Coal/peat,,,,,
Dominican Republic,2013,1A3,Natural gas,,,,,
Dominican Republic,2013,1A3,Oil,,,,,
Dominican Republic,2013,1A3A,Coal/peat,,,,,
Dominican Republic,2013,1A3A,Natural gas,,,,,
Dominican Republic,2013,1A3A,Oil,,,,,
Dominican Republic,2013,1A3A1,Coal/peat,,,,,
Dominican Republic,2013,1A3A1,Natural gas,,,,,
Dominican Republic,2013,1A3A1,Oil,,,,,
Dominican Republic,2013,1A3A2,Coal/peat,,,,,
Dominican Republic,2013,1A3A2,Natural gas,,,,,
Dominican Republic,2013,1A3A2,Oil,,,,,
Dominican Republic,2013,1A3B,Coal/peat,,,,,
Dominican Republic,2013,1A3B,Natural gas,,,,,
Dominican Republic,2013,1A3B,Oil,,,,,
Dominican Republic,2013,1A3C,Coal/peat,,,,,
Dominican Republic,2013,1A3C,Natural gas,,,,,
Dominican Republic,2013,1A3C,Oil,,,,,
Dominican Republic,2013,1A3D,Coal/peat,,,,,
Dominican Republic,2013,1A3D,Natural gas,,,,,
Dominican Republic,2013,1A3D,Oil,,,,,
Dominican Republic,2013,1A3D1,Coal/peat,,,,,
Dominican Republic,2013,1A3D1,Natural gas,,,,,
Dominican Republic,2013,1A3D1,Oil,,,,,
Dominican Republic,2013,1A3D2,Coal/peat,,,,,
Dominican Republic,2013,1A3D2,Natural gas,,,,,
Dominican Republic,2013,1A3D2,Oil,,,,,
Dominican Republic,2013,1A3E,Coal/peat,,,,,
Dominican Republic,2013,1A3E,Natural gas,,,,,
Dominican Republic,2013,1A3E,Oil,,,,,
Dominican Republic,2013,1A3E1,Coal/peat,,,,,
Dominican Republic,2013,1A3E1,Natural gas,,,,,
Dominican Republic,2013,1A3E1,Oil,,,,,
Dominican Republic,2013,1A4,Coal/peat,,,,,
Dominican Republic,2013,1A4,Natural gas,,,,,
Dominican Republic,2013,1A4,Oil,,,,,
Dominican Republic,2013,1A4A,Coal/peat,,,,,
Dominican Republic,2013,1A4A,Natural gas,,,,,
Dominican Republic,2013,1A4A,Oil,,,,,
Dominican Republic,2013,1A4B,Coal/peat,,,,,
Dominican Republic,2013,1A4B,Natural gas,,,,,
Dominican Republic,2013,1A4B,Oil,,,,,
Dominican Republic,2013,1A4C,Coal/peat,,,,,
Dominican Republic,2013,1A4C,Natural gas,,,,,
Dominican Republic,2013,1A4C,Oil,,,,,
Dominican Republic,2013,1A4C1,Coal/peat,,,,,
Dominican Republic,2013,1A4C1,Natural gas,,,,,
Dominican Republic,2013,1A4C1,Oil,,,,,
Dominican Republic,2013,1A4C2,Coal/peat,,,,,
Dominican Republic,2013,1A4C2,Natural gas,,,,,
Dominican Republic,2013,1A4C2,Oil,,,,,
Dominican Republic,2013,1A4C3,Coal/peat,,,,,
Dominican Republic,2013,1A4C3,Natural gas,,,,,
Dominican Republic,2013,1A4C3,Oil,,,,,
Dominican Republic,2013,1A5,Coal/peat,,,,,
Dominican Republic,2013,1A5,Natural gas,,,,,
Dominican Republic,2013,1A5,Oil,,,,,
Dominican Republic,2013,1A5A,Coal/peat,,,,,
Dominican Republic,2013,1A5A,Natural gas,,,,,
Dominican Republic,2013,1A5A,Oil,,,,,
Dominican Republic,2013,1A5B,Coal/peat,,,,,
Dominican Republic,2013,1A5B,Natural gas,,,,,
Dominican Republic,2013,1A5B,Oil,,,,,
Dominican Republic,2013,1A5C,Coal/peat,,,,,
Dominican Republic,2013,1A5C,Natural gas,,,,,
Dominican Republic,2013,1A5C,Oil,,,,,
Dominican Republic,2013,1B,,,,,,
Dominican Republic,2013,1B1,,,,,,
Dominican Republic,2013,1B1A,,,,,,
Dominican Republic,2013,1B1A1,,,,,,
Dominican Republic,2013,1B1A11,,,,,,
Dominican Republic,2013,1B1A12,,,,,,
Dominican Republic,2013,1B1A13,,,,,,
Dominican Republic,2013,1B1A14,,,,,,
Dominican Republic,2013,1B1A2,,,,,,
Dominican Republic,2013,1B1A21,,,,,,
Dominican Republic,2013,1B1A22,,,,,,
Dominican Republic,2013,1B1B,,,,,,
Dominican Republic,2013,1B2,,,,,,
Dominican Republic,2013,1B2A,,,,,,
Dominican Republic,2013,1B2A1,,,,,,
Dominican Republic,2013,1B2A2,,,,,,
Dominican Republic,2013,1B2A3,,,,,,
Dominican Republic,2013,1B2A31,,,,,,
Dominican Republic,2013,1B2A32,,,,,,
Dominican Republic,2013,1B2A33,,,,,,
Dominican Republic,2013,1B2A34,,,,,,
Dominican Republic,2013,1B2A35,,,,,,
Dominican Republic,2013,1B2A36,,,,,,
Dominican Republic,2013,1B2B,,,,,,
Dominican Republic,2013,1B2B1,,,,,,
Dominican Republic,2013,1B2B2,,,,,,
Dominican Republic,2013,1B2B3,,,,,,
Dominican Republic,2013,1B2B31,,,,,,
Dominican Republic,2013,1B2B32,,,,,,
Dominican Republic,2013,1B2B33,,,,,,
Dominican Republic,2013,1B2B34,,,,,,
Dominican Republic,2013,1B2B35,,,,,,
Dominican Republic,2013,1B2B36,,,,,,
Dominican Republic,2013,1B3,,,,,,
Dominican Republic,2013,1C,,,,,,
Dominican Republic,2013,1C1,,,,,,
Dominican Republic,2013,1C1A,,,,,,
Dominican Republic,2013,1C1B,,,,,,
Dominican Republic,2013,1C1C,,,,,,
Dominican Republic,2013,1C2,,,,,,
Dominican Republic,2013,1C2A,,,,,,
Dominican Republic,2013,1C2B,,,,,,
Dominican Republic,2013,1C3,,,,,,
Dominican Republic,2013,2,,,,,,
Dominican Republic,2013,20,,,,,,
Dominican Republic,2013,200,,,,,,
Dominican Republic,2013,2000,,,,,,
Dominican Republic,2013,20000,,,,,,
Dominican Republic,2013,200000,,,,,,
Dominican Republic,2013,2A,,,,,,
Dominican Republic,2013,2A1,,,,,,
Dominican Republic,2013,2A2,,,,,,
Dominican Republic,2013,2A3,,,,,,
Dominican Republic,2013,2A4,,,,,,
Dominican Republic,2013,2A4A,,,,,,
Dominican Republic,2013,2A4B,,,,,,
Dominican Republic,2013,2A4C,,,,,,
Dominican Republic,2013,2A4D,,,,,,
Dominican Republic,2013,2B,,,,,,
Dominican Republic,2013,2B1,,,,,,
Dominican Republic,2013,2B10,,,,,,
Dominican Republic,2013,2B2,,,,,,
Dominican Republic,2013,2B3,,,,,,
Dominican Republic,2013,2B4,,,,,,
Dominican Republic,2013,2B5,,,,,,
Dominican Republic,2013,2B6,,,,,,
Dominican Republic,2013,2B7,,,,,,
Dominican Republic,2013,2B8,,,,,,
Dominican Republic,2013,2B8A,,,,,,
Dominican Republic,2013,2B8B,,,,,,
Dominican Republic,2013,2B8C,,,,,,
Dominican Republic,2013,2B8D,,,,,,
Dominican Republic,2013,2B8E,,,,,,
Dominican Republic,2013,2B8F,,,,,,
Dominican Republic,2013,2B9,,,,,,
Dominican Republic,2013,2B9A,,,,,,
Dominican Republic,2013,2B9B,,,,,,
Dominican Republic,2013,2C,,,,,,
Dominican Republic,2013,2C1,,,,,,
Dominican Republic,2013,2C2,,,,,,
Dominican Republic,2013,2C3,,,,,,
Dominican Republic,2013,2C4,,,,,,
Dominican Republic,2013,2C5,,,,,,
Dominican Republic,2013,2C6,,,,,,
Dominican Republic,2013,2C7,,,,,,
Dominican Republic,2013,2D,,,,,,
Dominican Republic,2013,2D1,,,,,,
Dominican Republic,2013,2D2,,,,,,
Dominican Republic,2013,2D3,,,,,,
Dominican Republic,2013,2D4,,,,,,
Dominican Republic,2013,2E,,,,,,
Dominican Republic,2013,2F,,,,,,
Dominican Republic,2013,2F1,,,,,,
Dominican Republic,2013,2F2,,,,,,
Dominican Republic,2013,2F3,,,,,,
Dominican Republic,2013,2F4,,,,,,
Dominican Republic,2013,2F5,,,,,,
Dominican Republic,2013,2F6,,,,,,
Dominican Republic,2013,2G,,,,,,
Dominican Republic,2013,2G1,,,,,,
Dominican Republic,2013,2G2,,,,,,
Dominican Republic,2013,2G3,,,,,,
Dominican Republic,2013,2G4,,,,,,
Dominican Republic,2013,2H,,,,,,
Dominican Republic,2013,2H1,,,,,,
Dominican Republic,2013,2H2,,,,,,
Dominican Republic,2013,2H3,,,,,,
Dominican Republic,2013,3,,,,,,
Dominican Republic,2013,3A,,,,,,
Dominican Republic,2013,3A1,,,,,,
Dominican Republic,2013,3A2,,,,,,
Dominican Republic,2013,3B,,,,,,
Dominican Republic,2013,3B1,,,,,,
Dominican Republic,2013,3B1A,,,,,,
Dominican Republic,2013,3B1B,,,,,,
Dominican Republic,2013,3B2,,,,,,
Dominican Republic,2013,3B2A,,,,,,
Dominican Republic,2013,3B2B,,,,,,
Dominican Republic,2013,3B3,,,,,,
Dominican Republic,2013,3B3A,,,,,,
Dominican Republic,2013,3B3B,,,,,,
Dominican Republic,2013,3B4,,,,,,
Dominican Republic,2013,3B4A,,,,,,
Dominican Republic,2013,3B4B,,,,,,
Dominican Republic,2013,3B5,,,,,,
Dominican Republic,2013,3B5A,,,,,,
Dominican Republic,2013,3B5B,,,,,,
Dominican Republic,2013,3B6,,,,,,
Dominican Republic,2013,3B6A,,,,,,
Dominican Republic,2013,3B6B,,,,,,
Dominican Republic,2013,3B6B1,,,,,,
Dominican Republic,2013,3B6B2,,,,,,
Dominican Republic,2013,3B6B3,,,,,,
Dominican Republic,2013,3B6B4,,,,,,
Dominican Republic,2013,3B6B5,,,,,,
Dominican Republic,2013,3C,,,,,,
Dominican Republic,2013,3C1,,,,,,
Dominican Republic,2013,3C2,,,,,,
Dominican Republic,2013,3C3,,,,,,
Dominican Republic,2013,3C4,,,,,,
Dominican Republic,2013,3C5,,,,,,
Dominican Republic,2013,3C6,,,,,,
Dominican Republic,2013,3C7,,,,,,
Dominican Republic,2013,3C8,,,,,,
Dominican Republic,2013,3D,,,,,,
Dominican Republic,2013,3D1,,,,,,
Dominican Republic,2013,3D2,,,,,,
Dominican Republic,2013,4,,,,,,
Dominican Republic,2013,4A,,,,,,
Dominican Republic,2013,4A1,,,,,,
Dominican Republic,2013,4A2,,,,,,
Dominican Republic,2013,4A3,,,,,,
Dominican Republic,2013,4B,,,,,,
Dominican Republic,2013,4C,,,,,,
Dominican Republic,2013,4C1,,,,,,
Dominican Republic,2013,4C2,,,,,,
Dominican Republic,2013,4D,,,,,,
Dominican Republic,2013,4D1,,,,,,
Dominican Republic,2013,4D2,,,,,,
Dominican Republic,2013,4E,,,,,,
Dominican Republic,2013,5,,,,,,
Dominican Republic,2013,5A,,,,,,
Dominican Republic,2013,5A1,,,,,,
Dominican Republic,2013,5A2,,,,,,
Dominican Republic,2014,0,,,,,,
Dominican Republic,2014,1,,,,,,
Dominican Republic,2014,1A,Coal/peat,,,,,
Dominican Republic,2014,1A,Natural gas,,,,,
Dominican Republic,2014,1A,Oil,,,,,
Dominican Republic,2014,1A1,Coal/peat,,,,,
Dominican Republic,2014,1A1,Natural gas,,,,,
Dominican Republic,2014,1A1,Oil,,,,,
Dominican Republic,2014,1A1A,Coal/peat,,,,,
Dominican Republic,2014,1A1A,Natural gas,,,,,
Dominican Republic,2014,1A1A,Oil,,,,,
Dominican Republic,2014,1A1A1,Coal/peat,,,,,
Dominican Republic,2014,1A1A1,Natural gas,,,,,
Dominican Republic,2014,1A1A1,Oil,,,,,
Dominican Republic,2014,1A1A2,Coal/peat,,,,,
Dominican Republic,2014,1A1A2,Natural gas,,,,,
Dominican Republic,2014,1A1A2,Oil,,,,,
Dominican Republic,2014,1A1A3,Coal/peat,,,,,
Dominican Republic,2014,1A1A3,Natural gas,,,,,
Dominican Republic,2014,1A1A3,Oil,,,,,
Dominican Republic,2014,1A1B,Coal/peat,,,,,
Dominican Republic,2014,1A1B,Natural gas,,,,,
Dominican Republic,2014,1A1B,Oil,,,,,
Dominican Republic,2014,1A1C,Coal/peat,,,,,
Dominican Republic,2014,1A1C,Natural gas,,,,,
Dominican Republic,2014,1A1C,Oil,,,,,
Dominican Republic,2014,1A2,Coal/peat,,,,,
Dominican Republic,2014,1A2,Natural gas,,,,,
Dominican Republic,2014,1A2,Oil,,,,,
Dominican Republic,2014,1A2A,Coal/peat,,,,,
Dominican Republic,2014,1A2A,Natural gas,,,,,
Dominican Republic,2014,1A2A,Oil,,,,,
Dominican Republic,2014,1A2B,Coal/peat,,,,,
Dominican Republic,2014,1A2B,Natural gas,,,,,
Dominican Republic,2014,1A2B,Oil,,,,,
Dominican Republic,2014,1A2C,Coal/peat,,,,,
Dominican Republic,2014,1A2C,Natural gas,,,,,
Dominican Republic,2014,1A2C,Oil,,,,,
Dominican Republic,2014,1A2D,Coal/peat,,,,,
Dominican Republic,2014,1A2D,Natural gas,,,,,
Dominican Republic,2014,1A2D,Oil,,,,,
Dominican Republic,2014,1A2E,Coal/peat,,,,,
Dominican Republic,2014,1A2E,Natural gas,,,,,
Dominican Republic,2014,1A2E,Oil,,,,,
Dominican Republic,2014,1A2F,Coal/peat,,,,,
Dominican Republic,2014,1A2F,Natural gas,,,,,
Dominican Republic,2014,1A2F,Oil,,,,,
Dominican Republic,2014,1A2G,Coal/peat,,,,,
Dominican Republic,2014,1A2G,Natural gas,,,,,
Dominican Republic,2014,1A2G,Oil,,,,,
Dominican Republic,2014,1A2H,Coal/peat,,,,,
Dominican Republic,2014,1A2H,Natural gas,,,,,
Dominican Republic,2014,1A2H,Oil,,,,,
Dominican Republic,2014,1A2I,Coal/peat,,,,,
Dominican Republic,2014,1A2I,Natural gas,,,,,
Dominican Republic,2014,1A2I,Oil,,,,,
Dominican Republic,2014,1A2J,Coal/peat,,,,,
Dominican Republic,2014,1A2J,Natural gas,,,,,
Dominican Republic,2014,1A2J,Oil,,,,,
Dominican Republic,2014,1A2K,Coal/peat,,,,,
Dominican Republic,2014,1A2K,Natural gas,,,,,
Dominican Republic,2014,1A2K,Oil,,,,,
Dominican Republic,2014,1A2L,Coal/peat,,,,,
Dominican Republic,2014,1A2L,Natural gas,,,,,
Dominican Republic,2014,1A2L,Oil,,,,,
Dominican Republic,2014,1A2M,Coal/peat,,,,,
Dominican Republic,2014,1A2M,Natural gas,,,,,
Dominican Republic,2014,1A2M,Oil,,,,,
Dominican Republic,2014,1A3,Coal/peat,,,,,
Dominican Republic,2014,1A3,Natural gas,,,,,
Dominican Republic,2014,1A3,Oil,,,,,
Dominican Republic,2014,1A3A,Coal/peat,,,,,
Dominican Republic,2014,1A3A,Natural gas,,,,,
Dominican Republic,2014,1A3A,Oil,,,,,
Dominican Republic,2014,1A3A1,Coal/peat,,,,,
Dominican Republic,2014,1A3A1,Natural gas,,,,,
Dominican Republic,2014,1A3A1,Oil,,,,,
Dominican Republic,2014,1A3A2,Coal/peat,,,,,
Dominican Republic,2014,1A3A2,Natural gas,,,,,
Dominican Republic,2014,1A3A2,Oil,,,,,
Dominican Republic,2014,1A3B,Coal/peat,,,,,
Dominican Republic,2014,1A3B,Natural gas,,,,,
Dominican Republic,2014,1A3B,Oil,,,,,
Dominican Republic,2014,1A3C,Coal/peat,,,,,
Dominican Republic,2014,1A3C,Natural gas,,,,,
Dominican Republic,2014,1A3C,Oil,,,,,
Dominican Republic,2014,1A3D,Coal/peat,,,,,
Dominican Republic,2014,1A3D,Natural gas,,,,,
Dominican Republic,2014,1A3D,Oil,,,,,
Dominican Republic,2014,1A3D1,Coal/peat,,,,,
Dominican Republic,2014,1A3D1,Natural gas,,,,,
Dominican Republic,2014,1A3D1,Oil,,,,,
Dominican Republic,2014,1A3D2,Coal/peat,,,,,
Dominican Republic,2014,1A3D2,Natural gas,,,,,
Dominican Republic,2014,1A3D2,Oil,,,,,
Dominican Republic,2014,1A3E,Coal/peat,,,,,
Dominican Republic,2014,1A3E,Natural gas,,,,,
Dominican Republic,2014,1A3E,Oil,,,,,
Dominican Republic,2014,1A3E1,Coal/peat,,,,,
Dominican Republic,2014,1A3E1,Natural gas,,,,,
Dominican Republic,2014,1A3E1,Oil,,,,,
Dominican Republic,2014,1A4,Coal/peat,,,,,
Dominican Republic,2014,1A4,Natural gas,,,,,
Dominican Republic,2014,1A4,Oil,,,,,
Dominican Republic,2014,1A4A,Coal/peat,,,,,
Dominican Republic,2014,1A4A,Natural gas,,,,,
Dominican Republic,2014,1A4A,Oil,,,,,
Dominican Republic,2014,1A4B,Coal/peat,,,,,
Dominican Republic,2014,1A4B,Natural gas,,,,,
Dominican Republic,2014,1A4B,Oil,,,,,
Dominican Republic,2014,1A4C,Coal/peat,,,,,
Dominican Republic,2014,1A4C,Natural gas,,,,,
Dominican Republic,2014,1A4C,Oil,,,,,
Dominican Republic,2014,1A4C1,Coal/peat,,,,,
Dominican Republic,2014,1A4C1,Natural gas,,,,,
Dominican Republic,2014,1A4C1,Oil,,,,,
Dominican Republic,2014,1A4C2,Coal/peat,,,,,
Dominican Republic,2014,1A4C2,Natural gas,,,,,
Dominican Republic,2014,1A4C2,Oil,,,,,
Dominican Republic,2014,1A4C3,Coal/peat,,,,,
Dominican Republic,2014,1A4C3,Natural gas,,,,,
Dominican Republic,2014,1A4C3,Oil,,,,,
Dominican Republic,2014,1A5,Coal/peat,,,,,
Dominican Republic,2014,1A5,Natural gas,,,,,
Dominican Republic,2014,1A5,Oil,,,,,
Dominican Republic,2014,1A5A,Coal/peat,,,,,
Dominican Republic,2014,1A5A,Natural gas,,,,,
Dominican Republic,2014,1A5A,Oil,,,,,
Dominican Republic,2014,1A5B,Coal/peat,,,,,
Dominican Republic,2014,1A5B,Natural gas,,,,,
Dominican Republic,2014,1A5B,Oil,,,,,
Dominican Republic,2014,1A5C,Coal/peat,,,,,
Dominican Republic,2014,1A5C,Natural gas,,,,,
Dominican Republic,2014,1A5C,Oil,,,,,
Dominican Republic,2014,1B,,,,,,
Dominican Republic,2014,1B1,,,,,,
Dominican Republic,2014,1B1A,,,,,,
Dominican Republic,2014,1B1A1,,,,,,
Dominican Republic,2014,1B1A11,,,,,,
Dominican Republic,2014,1B1A12,,,,,,
Dominican Republic,2014,1B1A13,,,,,,
Dominican Republic,2014,1B1A14,,,,,,
Dominican Republic,2014,1B1A2,,,,,,
Dominican Republic,2014,1B1A21,,,,,,
Dominican Republic,2014,1B1A22,,,,,,
Dominican Republic,2014,1B1B,,,,,,
Dominican Republic,2014,1B2,,,,,,
Dominican Republic,2014,1B2A,,,,,,
Dominican Republic,2014,1B2A1,,,,,,
Dominican Republic,2014,1B2A2,,,,,,
Dominican Republic,2014,1B2A3,,,,,,
Dominican Republic,2014,1B2A31,,,,,,
Dominican Republic,2014,1B2A32,,,,,,
Dominican Republic,2014,1B2A33,,,,,,
Dominican Republic,2014,1B2A34,,,,,,
Dominican Republic,2014,1B2A35,,,,,,
Dominican Republic,2014,1B2A36,,,,,,
Dominican Republic,2014,1B2B,,,,,,
Dominican Republic,2014,1B2B1,,,,,,
Dominican Republic,2014,1B2B2,,,,,,
Dominican Republic,2014,1B2B3,,,,,,
Dominican Republic,2014,1B2B31,,,,,,
Dominican Republic,2014,1B2B32,,,,,,
Dominican Republic,2014,1B2B33,,,,,,
Dominican Republic,2014,1B2B34,,,,,,
Dominican Republic,2014,1B2B35,,,,,,
Dominican Republic,2014,1B2B36,,,,,,
Dominican Republic,2014,1B3,,,,,,
Dominican Republic,2014,1C,,,,,,
Dominican Republic,2014,1C1,,,,,,
Dominican Republic,2014,1C1A,,,,,,
Dominican Republic,2014,1C1B,,,,,,
Dominican Republic,2014,1C1C,,,,,,
Dominican Republic,2014,1C2,,,,,,
Dominican Republic,2014,1C2A,,,,,,
Dominican Republic,2014,1C2B,,,,,,
Dominican Republic,2014,1C3,,,,,,
Dominican Republic,2014,2,,,,,,
Dominican Republic,2014,20,,,,,,
Dominican Republic,2014,200,,,,,,
Dominican Republic,2014,2000,,,,,,
Dominican Republic,2014,20000,,,,,,
Dominican Republic,2014,200000,,,,,,
Dominican Republic,2014,2A,,,,,,
Dominican Republic,2014,2A1,,,,,,
Dominican Republic,2014,2A2,,,,,,
Dominican Republic,2014,2A3,,,,,,
Dominican Republic,2014,2A4,,,,,,
Dominican Republic,2014,2A4A,,,,,,
Dominican Republic,2014,2A4B,,,,,,
Dominican Republic,2014,2A4C,,,,,,
Dominican Republic,2014,2A4D,,,,,,
Dominican Republic,2014,2B,,,,,,
Dominican Republic,2014,2B1,,,,,,
Dominican Republic,2014,2B10,,,,,,
Dominican Republic,2014,2B2,,,,,,
Dominican Republic,2014,2B3,,,,,,
Dominican Republic,2014,2B4,,,,,,
Dominican Republic,2014,2B5,,,,,,
Dominican Republic,2014,2B6,,,,,,
Dominican Republic,2014,2B7,,,,,,
Dominican Republic,2014,2B8,,,,,,
Dominican Republic,2014,2B8A,,,,,,
Dominican Republic,2014,2B8B,,,,,,
Dominican Republic,2014,2B8C,,,,,,
Dominican Republic,2014,2B8D,,,,,,
Dominican Republic,2014,2B8E,,,,,,
Dominican Republic,2014,2B8F,,,,,,
Dominican Republic,2014,2B9,,,,,,
Dominican Republic,2014,2B9A,,,,,,
Dominican Republic,2014,2B9B,,,,,,
Dominican Republic,2014,2C,,,,,,
Dominican Republic,2014,2C1,,,,,,
Dominican Republic,2014,2C2,,,,,,
Dominican Republic,2014,2C3,,,,,,
Dominican Republic,2014,2C4,,,,,,
Dominican Republic,2014,2C5,,,,,,
Dominican Republic,2014,2C6,,,,,,
Dominican Republic,2014,2C7,,,,,,
Dominican Republic,2014,2D,,,,,,
Dominican Republic,2014,2D1,,,,,,
Dominican Republic,2014,2D2,,,,,,
Dominican Republic,2014,2D3,,,,,,
Dominican Republic,2014,2D4,,,,,,
Dominican Republic,2014,2E,,,,,,
Dominican Republic,2014,2F,,,,,,
Dominican Republic,2014,2F1,,,,,,
Dominican Republic,2014,2F2,,,,,,
Dominican Republic,2014,2F3,,,,,,
Dominican Republic,2014,2F4,,,,,,
Dominican Republic,2014,2F5,,,,,,
Dominican Republic,2014,2F6,,,,,,
Dominican Republic,2014,2G,,,,,,
Dominican Republic,2014,2G1,,,,,,
Dominican Republic,2014,2G2,,,,,,
Dominican Republic,2014,2G3,,,,,,
Dominican Republic,2014,2G4,,,,,,
Dominican Republic,2014,2H,,,,,,
Dominican Republic,2014,2H1,,,,,,
Dominican Republic,2014,2H2,,,,,,
Dominican Republic,2014,2H3,,,,,,
Dominican Republic,2014,3,,,,,,
Dominican Republic,2014,3A,,,,,,
Dominican Republic,2014,3A1,,,,,,
Dominican Republic,2014,3A2,,,,,,
Dominican Republic,2014,3B,,,,,,
Dominican Republic,2014,3B1,,,,,,
Dominican Republic,2014,3B1A,,,,,,
Dominican Republic,2014,3B1B,,,,,,
Dominican Republic,2014,3B2,,,,,,
Dominican Republic,2014,3B2A,,,,,,
Dominican Republic,2014,3B2B,,,,,,
Dominican Republic,2014,3B3,,,,,,
Dominican Republic,2014,3B3A,,,,,,
Dominican Republic,2014,3B3B,,,,,,
Dominican Republic,2014,3B4,,,,,,
Dominican Republic,2014,3B4A,,,,,,
Dominican Republic,2014,3B4B,,,,,,
Dominican Republic,2014,3B5,,,,,,
Dominican Republic,2014,3B5A,,,,,,
Dominican Republic,2014,3B5B,,,,,,
Dominican Republic,2014,3B6,,,,,,
Dominican Republic,2014,3B6A,,,,,,
Dominican Republic,2014,3B6B,,,,,,
Dominican Republic,2014,3B6B1,,,,,,
Dominican Republic,2014,3B6B2,,,,,,
Dominican Republic,2014,3B6B3,,,,,,
Dominican Republic,2014,3B6B4,,,,,,
Dominican Republic,2014,3B6B5,,,,,,
Dominican Republic,2014,3C,,,,,,
Dominican Republic,2014,3C1,,,,,,
Dominican Republic,2014,3C2,,,,,,
Dominican Republic,2014,3C3,,,,,,
Dominican Republic,2014,3C4,,,,,,
Dominican Republic,2014,3C5,,,,,,
Dominican Republic,2014,3C6,,,,,,
Dominican Republic,2014,3C7,,,,,,
Dominican Republic,2014,3C8,,,,,,
Dominican Republic,2014,3D,,,,,,
Dominican Republic,2014,3D1,,,,,,
Dominican Republic,2014,3D2,,,,,,
Dominican Republic,2014,4,,,,,,
Dominican Republic,2014,4A,,,,,,
Dominican Republic,2014,4A1,,,,,,
Dominican Republic,2014,4A2,,,,,,
Dominican Republic,2014,4A3,,,,,,
Dominican Republic,2014,4B,,,,,,
Dominican Republic,2014,4C,,,,,,
Dominican Republic,2014,4C1,,,,,,
Dominican Republic,2014,4C2,,,,,,
Dominican Republic,2014,4D,,,,,,
Dominican Republic,2014,4D1,,,,,,
Dominican Republic,2014,4D2,,,,,,
Dominican Republic,2014,4E,,,,,,
Dominican Republic,2014,5,,,,,,
Dominican Republic,2014,5A,,,,,,
Dominican Republic,2014,5A1,,,,,,
Dominican Republic,2014,5A2,,,,,,
Dominican Republic,2015,0,,,,,,
Dominican Republic,2015,1,,,,,,
Dominican Republic,2015,1A,Coal/peat,,,,,
Dominican Republic,2015,1A,Natural gas,,,,,
Dominican Republic,2015,1A,Oil,,,,,
Dominican Republic,2015,1A1,Coal/peat,,,,,
Dominican Republic,2015,1A1,Natural gas,,,,,
Dominican Republic,2015,1A1,Oil,,,,,
Dominican Republic,2015,1A1A,Coal/peat,,,,,
Dominican Republic,2015,1A1A,Natural gas,,,,,
Dominican Republic,2015,1A1A,Oil,,,,,
Dominican Republic,2015,1A1A1,Coal/peat,,,,,
Dominican Republic,2015,1A1A1,Natural gas,,,,,
Dominican Republic,2015,1A1A1,Oil,,,,,
Dominican Republic,2015,1A1A2,Coal/peat,,,,,
Dominican Republic,2015,1A1A2,Natural gas,,,,,
Dominican Republic,2015,1A1A2,Oil,,,,,
