jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Albania,1998,1A3A,Coal/peat,,,,,
Albania,1998,1A3A,Natural gas,,,,,
Albania,1998,1A3A,Oil,,,,,
Albania,1998,1A3A1,Coal/peat,,,,,
Albania,1998,1A3A1,Natural gas,,,,,
Albania,1998,1A3A1,Oil,,,,,
Albania,1998,1A3A2,Coal/peat,,,,,
Albania,1998,1A3A2,Natural gas,,,,,
Albania,1998,1A3A2,Oil,,,,,
Albania,1998,1A3B,Coal/peat,,,,,
Albania,1998,1A3B,Natural gas,,,,,
Albania,1998,1A3B,Oil,,,,,
Albania,1998,1A3C,Coal/peat,,,,,
Albania,1998,1A3C,Natural gas,,,,,
Albania,1998,1A3C,Oil,,,,,
Albania,1998,1A3D,Coal/peat,,,,,
Albania,1998,1A3D,Natural gas,,,,,
Albania,1998,1A3D,Oil,,,,,
Albania,1998,1A3D1,Coal/peat,,,,,
Albania,1998,1A3D1,Natural gas,,,,,
Albania,1998,1A3D1,Oil,,,,,
Albania,1998,1A3D2,Coal/peat,,,,,
Albania,1998,1A3D2,Natural gas,,,,,
Albania,1998,1A3D2,Oil,,,,,
Albania,1998,1A3E,Coal/peat,,,,,
Albania,1998,1A3E,Natural gas,,,,,
Albania,1998,1A3E,Oil,,,,,
Albania,1998,1A3E1,Coal/peat,,,,,
Albania,1998,1A3E1,Natural gas,,,,,
Albania,1998,1A3E1,Oil,,,,,
Albania,1998,1A4,Coal/peat,,,,,
Albania,1998,1A4,Natural gas,,,,,
Albania,1998,1A4,Oil,,,,,
Albania,1998,1A4A,Coal/peat,,,,,
Albania,1998,1A4A,Natural gas,,,,,
Albania,1998,1A4A,Oil,,,,,
Albania,1998,1A4B,Coal/peat,,,,,
Albania,1998,1A4B,Natural gas,,,,,
Albania,1998,1A4B,Oil,,,,,
Albania,1998,1A4C,Coal/peat,,,,,
Albania,1998,1A4C,Natural gas,,,,,
Albania,1998,1A4C,Oil,,,,,
Albania,1998,1A4C1,Coal/peat,,,,,
Albania,1998,1A4C1,Natural gas,,,,,
Albania,1998,1A4C1,Oil,,,,,
Albania,1998,1A4C2,Coal/peat,,,,,
Albania,1998,1A4C2,Natural gas,,,,,
Albania,1998,1A4C2,Oil,,,,,
Albania,1998,1A4C3,Coal/peat,,,,,
Albania,1998,1A4C3,Natural gas,,,,,
Albania,1998,1A4C3,Oil,,,,,
Albania,1998,1A5,Coal/peat,,,,,
Albania,1998,1A5,Natural gas,,,,,
Albania,1998,1A5,Oil,,,,,
Albania,1998,1A5A,Coal/peat,,,,,
Albania,1998,1A5A,Natural gas,,,,,
Albania,1998,1A5A,Oil,,,,,
Albania,1998,1A5B,Coal/peat,,,,,
Albania,1998,1A5B,Natural gas,,,,,
Albania,1998,1A5B,Oil,,,,,
Albania,1998,1A5C,Coal/peat,,,,,
Albania,1998,1A5C,Natural gas,,,,,
Albania,1998,1A5C,Oil,,,,,
Albania,1998,1B,,,,,,
Albania,1998,1B1,,,,,,
Albania,1998,1B1A,,,,,,
Albania,1998,1B1A1,,,,,,
Albania,1998,1B1A11,,,,,,
Albania,1998,1B1A12,,,,,,
Albania,1998,1B1A13,,,,,,
Albania,1998,1B1A14,,,,,,
Albania,1998,1B1A2,,,,,,
Albania,1998,1B1A21,,,,,,
Albania,1998,1B1A22,,,,,,
Albania,1998,1B1B,,,,,,
Albania,1998,1B2,,,,,,
Albania,1998,1B2A,,,,,,
Albania,1998,1B2A1,,,,,,
Albania,1998,1B2A2,,,,,,
Albania,1998,1B2A3,,,,,,
Albania,1998,1B2A31,,,,,,
Albania,1998,1B2A32,,,,,,
Albania,1998,1B2A33,,,,,,
Albania,1998,1B2A34,,,,,,
Albania,1998,1B2A35,,,,,,
Albania,1998,1B2A36,,,,,,
Albania,1998,1B2B,,,,,,
Albania,1998,1B2B1,,,,,,
Albania,1998,1B2B2,,,,,,
Albania,1998,1B2B3,,,,,,
Albania,1998,1B2B31,,,,,,
Albania,1998,1B2B32,,,,,,
Albania,1998,1B2B33,,,,,,
Albania,1998,1B2B34,,,,,,
Albania,1998,1B2B35,,,,,,
Albania,1998,1B2B36,,,,,,
Albania,1998,1B3,,,,,,
Albania,1998,1C,,,,,,
Albania,1998,1C1,,,,,,
Albania,1998,1C1A,,,,,,
Albania,1998,1C1B,,,,,,
Albania,1998,1C1C,,,,,,
Albania,1998,1C2,,,,,,
Albania,1998,1C2A,,,,,,
Albania,1998,1C2B,,,,,,
Albania,1998,1C3,,,,,,
Albania,1998,2,,,,,,
Albania,1998,20,,,,,,
Albania,1998,200,,,,,,
Albania,1998,2000,,,,,,
Albania,1998,20000,,,,,,
Albania,1998,200000,,,,,,
Albania,1998,2A,,,,,,
Albania,1998,2A1,,,,,,
Albania,1998,2A2,,,,,,
Albania,1998,2A3,,,,,,
Albania,1998,2A4,,,,,,
Albania,1998,2A4A,,,,,,
Albania,1998,2A4B,,,,,,
Albania,1998,2A4C,,,,,,
Albania,1998,2A4D,,,,,,
Albania,1998,2B,,,,,,
Albania,1998,2B1,,,,,,
Albania,1998,2B10,,,,,,
Albania,1998,2B2,,,,,,
Albania,1998,2B3,,,,,,
Albania,1998,2B4,,,,,,
Albania,1998,2B5,,,,,,
Albania,1998,2B6,,,,,,
Albania,1998,2B7,,,,,,
Albania,1998,2B8,,,,,,
Albania,1998,2B8A,,,,,,
Albania,1998,2B8B,,,,,,
Albania,1998,2B8C,,,,,,
Albania,1998,2B8D,,,,,,
Albania,1998,2B8E,,,,,,
Albania,1998,2B8F,,,,,,
Albania,1998,2B9,,,,,,
Albania,1998,2B9A,,,,,,
Albania,1998,2B9B,,,,,,
Albania,1998,2C,,,,,,
Albania,1998,2C1,,,,,,
Albania,1998,2C2,,,,,,
Albania,1998,2C3,,,,,,
Albania,1998,2C4,,,,,,
Albania,1998,2C5,,,,,,
Albania,1998,2C6,,,,,,
Albania,1998,2C7,,,,,,
Albania,1998,2D,,,,,,
Albania,1998,2D1,,,,,,
Albania,1998,2D2,,,,,,
Albania,1998,2D3,,,,,,
Albania,1998,2D4,,,,,,
Albania,1998,2E,,,,,,
Albania,1998,2F,,,,,,
Albania,1998,2F1,,,,,,
Albania,1998,2F2,,,,,,
Albania,1998,2F3,,,,,,
Albania,1998,2F4,,,,,,
Albania,1998,2F5,,,,,,
Albania,1998,2F6,,,,,,
Albania,1998,2G,,,,,,
Albania,1998,2G1,,,,,,
Albania,1998,2G2,,,,,,
Albania,1998,2G3,,,,,,
Albania,1998,2G4,,,,,,
Albania,1998,2H,,,,,,
Albania,1998,2H1,,,,,,
Albania,1998,2H2,,,,,,
Albania,1998,2H3,,,,,,
Albania,1998,3,,,,,,
Albania,1998,3A,,,,,,
Albania,1998,3A1,,,,,,
Albania,1998,3A2,,,,,,
Albania,1998,3B,,,,,,
Albania,1998,3B1,,,,,,
Albania,1998,3B1A,,,,,,
Albania,1998,3B1B,,,,,,
Albania,1998,3B2,,,,,,
Albania,1998,3B2A,,,,,,
Albania,1998,3B2B,,,,,,
Albania,1998,3B3,,,,,,
Albania,1998,3B3A,,,,,,
Albania,1998,3B3B,,,,,,
Albania,1998,3B4,,,,,,
Albania,1998,3B4A,,,,,,
Albania,1998,3B4B,,,,,,
Albania,1998,3B5,,,,,,
Albania,1998,3B5A,,,,,,
Albania,1998,3B5B,,,,,,
Albania,1998,3B6,,,,,,
Albania,1998,3B6A,,,,,,
Albania,1998,3B6B,,,,,,
Albania,1998,3B6B1,,,,,,
Albania,1998,3B6B2,,,,,,
Albania,1998,3B6B3,,,,,,
Albania,1998,3B6B4,,,,,,
Albania,1998,3B6B5,,,,,,
Albania,1998,3C,,,,,,
Albania,1998,3C1,,,,,,
Albania,1998,3C2,,,,,,
Albania,1998,3C3,,,,,,
Albania,1998,3C4,,,,,,
Albania,1998,3C5,,,,,,
Albania,1998,3C6,,,,,,
Albania,1998,3C7,,,,,,
Albania,1998,3C8,,,,,,
Albania,1998,3D,,,,,,
Albania,1998,3D1,,,,,,
Albania,1998,3D2,,,,,,
Albania,1998,4,,,,,,
Albania,1998,4A,,,,,,
Albania,1998,4A1,,,,,,
Albania,1998,4A2,,,,,,
Albania,1998,4A3,,,,,,
Albania,1998,4B,,,,,,
Albania,1998,4C,,,,,,
Albania,1998,4C1,,,,,,
Albania,1998,4C2,,,,,,
Albania,1998,4D,,,,,,
Albania,1998,4D1,,,,,,
Albania,1998,4D2,,,,,,
Albania,1998,4E,,,,,,
Albania,1998,5,,,,,,
Albania,1998,5A,,,,,,
Albania,1998,5A1,,,,,,
Albania,1998,5A2,,,,,,
Albania,1999,0,,,,,,
Albania,1999,1,,,,,,
Albania,1999,1A,Coal/peat,,,,,
Albania,1999,1A,Natural gas,,,,,
Albania,1999,1A,Oil,,,,,
Albania,1999,1A1,Coal/peat,,,,,
Albania,1999,1A1,Natural gas,,,,,
Albania,1999,1A1,Oil,,,,,
Albania,1999,1A1A,Coal/peat,,,,,
Albania,1999,1A1A,Natural gas,,,,,
Albania,1999,1A1A,Oil,,,,,
Albania,1999,1A1A1,Coal/peat,,,,,
Albania,1999,1A1A1,Natural gas,,,,,
Albania,1999,1A1A1,Oil,,,,,
Albania,1999,1A1A2,Coal/peat,,,,,
Albania,1999,1A1A2,Natural gas,,,,,
Albania,1999,1A1A2,Oil,,,,,
Albania,1999,1A1A3,Coal/peat,,,,,
Albania,1999,1A1A3,Natural gas,,,,,
Albania,1999,1A1A3,Oil,,,,,
Albania,1999,1A1B,Coal/peat,,,,,
Albania,1999,1A1B,Natural gas,,,,,
Albania,1999,1A1B,Oil,,,,,
Albania,1999,1A1C,Coal/peat,,,,,
Albania,1999,1A1C,Natural gas,,,,,
Albania,1999,1A1C,Oil,,,,,
Albania,1999,1A2,Coal/peat,,,,,
Albania,1999,1A2,Natural gas,,,,,
Albania,1999,1A2,Oil,,,,,
Albania,1999,1A2A,Coal/peat,,,,,
Albania,1999,1A2A,Natural gas,,,,,
Albania,1999,1A2A,Oil,,,,,
Albania,1999,1A2B,Coal/peat,,,,,
Albania,1999,1A2B,Natural gas,,,,,
Albania,1999,1A2B,Oil,,,,,
Albania,1999,1A2C,Coal/peat,,,,,
Albania,1999,1A2C,Natural gas,,,,,
Albania,1999,1A2C,Oil,,,,,
Albania,1999,1A2D,Coal/peat,,,,,
Albania,1999,1A2D,Natural gas,,,,,
Albania,1999,1A2D,Oil,,,,,
Albania,1999,1A2E,Coal/peat,,,,,
Albania,1999,1A2E,Natural gas,,,,,
Albania,1999,1A2E,Oil,,,,,
Albania,1999,1A2F,Coal/peat,,,,,
Albania,1999,1A2F,Natural gas,,,,,
Albania,1999,1A2F,Oil,,,,,
Albania,1999,1A2G,Coal/peat,,,,,
Albania,1999,1A2G,Natural gas,,,,,
Albania,1999,1A2G,Oil,,,,,
Albania,1999,1A2H,Coal/peat,,,,,
Albania,1999,1A2H,Natural gas,,,,,
Albania,1999,1A2H,Oil,,,,,
Albania,1999,1A2I,Coal/peat,,,,,
Albania,1999,1A2I,Natural gas,,,,,
Albania,1999,1A2I,Oil,,,,,
Albania,1999,1A2J,Coal/peat,,,,,
Albania,1999,1A2J,Natural gas,,,,,
Albania,1999,1A2J,Oil,,,,,
Albania,1999,1A2K,Coal/peat,,,,,
Albania,1999,1A2K,Natural gas,,,,,
Albania,1999,1A2K,Oil,,,,,
Albania,1999,1A2L,Coal/peat,,,,,
Albania,1999,1A2L,Natural gas,,,,,
Albania,1999,1A2L,Oil,,,,,
Albania,1999,1A2M,Coal/peat,,,,,
Albania,1999,1A2M,Natural gas,,,,,
Albania,1999,1A2M,Oil,,,,,
Albania,1999,1A3,Coal/peat,,,,,
Albania,1999,1A3,Natural gas,,,,,
Albania,1999,1A3,Oil,,,,,
Albania,1999,1A3A,Coal/peat,,,,,
Albania,1999,1A3A,Natural gas,,,,,
Albania,1999,1A3A,Oil,,,,,
Albania,1999,1A3A1,Coal/peat,,,,,
Albania,1999,1A3A1,Natural gas,,,,,
Albania,1999,1A3A1,Oil,,,,,
Albania,1999,1A3A2,Coal/peat,,,,,
Albania,1999,1A3A2,Natural gas,,,,,
Albania,1999,1A3A2,Oil,,,,,
Albania,1999,1A3B,Coal/peat,,,,,
Albania,1999,1A3B,Natural gas,,,,,
Albania,1999,1A3B,Oil,,,,,
Albania,1999,1A3C,Coal/peat,,,,,
Albania,1999,1A3C,Natural gas,,,,,
Albania,1999,1A3C,Oil,,,,,
Albania,1999,1A3D,Coal/peat,,,,,
Albania,1999,1A3D,Natural gas,,,,,
Albania,1999,1A3D,Oil,,,,,
Albania,1999,1A3D1,Coal/peat,,,,,
Albania,1999,1A3D1,Natural gas,,,,,
Albania,1999,1A3D1,Oil,,,,,
Albania,1999,1A3D2,Coal/peat,,,,,
Albania,1999,1A3D2,Natural gas,,,,,
Albania,1999,1A3D2,Oil,,,,,
Albania,1999,1A3E,Coal/peat,,,,,
Albania,1999,1A3E,Natural gas,,,,,
Albania,1999,1A3E,Oil,,,,,
Albania,1999,1A3E1,Coal/peat,,,,,
Albania,1999,1A3E1,Natural gas,,,,,
Albania,1999,1A3E1,Oil,,,,,
Albania,1999,1A4,Coal/peat,,,,,
Albania,1999,1A4,Natural gas,,,,,
Albania,1999,1A4,Oil,,,,,
Albania,1999,1A4A,Coal/peat,,,,,
Albania,1999,1A4A,Natural gas,,,,,
Albania,1999,1A4A,Oil,,,,,
Albania,1999,1A4B,Coal/peat,,,,,
Albania,1999,1A4B,Natural gas,,,,,
Albania,1999,1A4B,Oil,,,,,
Albania,1999,1A4C,Coal/peat,,,,,
Albania,1999,1A4C,Natural gas,,,,,
Albania,1999,1A4C,Oil,,,,,
Albania,1999,1A4C1,Coal/peat,,,,,
Albania,1999,1A4C1,Natural gas,,,,,
Albania,1999,1A4C1,Oil,,,,,
Albania,1999,1A4C2,Coal/peat,,,,,
Albania,1999,1A4C2,Natural gas,,,,,
Albania,1999,1A4C2,Oil,,,,,
Albania,1999,1A4C3,Coal/peat,,,,,
Albania,1999,1A4C3,Natural gas,,,,,
Albania,1999,1A4C3,Oil,,,,,
Albania,1999,1A5,Coal/peat,,,,,
Albania,1999,1A5,Natural gas,,,,,
Albania,1999,1A5,Oil,,,,,
Albania,1999,1A5A,Coal/peat,,,,,
Albania,1999,1A5A,Natural gas,,,,,
Albania,1999,1A5A,Oil,,,,,
Albania,1999,1A5B,Coal/peat,,,,,
Albania,1999,1A5B,Natural gas,,,,,
Albania,1999,1A5B,Oil,,,,,
Albania,1999,1A5C,Coal/peat,,,,,
Albania,1999,1A5C,Natural gas,,,,,
Albania,1999,1A5C,Oil,,,,,
Albania,1999,1B,,,,,,
Albania,1999,1B1,,,,,,
Albania,1999,1B1A,,,,,,
Albania,1999,1B1A1,,,,,,
Albania,1999,1B1A11,,,,,,
Albania,1999,1B1A12,,,,,,
Albania,1999,1B1A13,,,,,,
Albania,1999,1B1A14,,,,,,
Albania,1999,1B1A2,,,,,,
Albania,1999,1B1A21,,,,,,
Albania,1999,1B1A22,,,,,,
Albania,1999,1B1B,,,,,,
Albania,1999,1B2,,,,,,
Albania,1999,1B2A,,,,,,
Albania,1999,1B2A1,,,,,,
Albania,1999,1B2A2,,,,,,
Albania,1999,1B2A3,,,,,,
Albania,1999,1B2A31,,,,,,
Albania,1999,1B2A32,,,,,,
Albania,1999,1B2A33,,,,,,
Albania,1999,1B2A34,,,,,,
Albania,1999,1B2A35,,,,,,
Albania,1999,1B2A36,,,,,,
Albania,1999,1B2B,,,,,,
Albania,1999,1B2B1,,,,,,
Albania,1999,1B2B2,,,,,,
Albania,1999,1B2B3,,,,,,
Albania,1999,1B2B31,,,,,,
Albania,1999,1B2B32,,,,,,
Albania,1999,1B2B33,,,,,,
Albania,1999,1B2B34,,,,,,
Albania,1999,1B2B35,,,,,,
Albania,1999,1B2B36,,,,,,
Albania,1999,1B3,,,,,,
Albania,1999,1C,,,,,,
Albania,1999,1C1,,,,,,
Albania,1999,1C1A,,,,,,
Albania,1999,1C1B,,,,,,
Albania,1999,1C1C,,,,,,
Albania,1999,1C2,,,,,,
Albania,1999,1C2A,,,,,,
Albania,1999,1C2B,,,,,,
Albania,1999,1C3,,,,,,
Albania,1999,2,,,,,,
Albania,1999,20,,,,,,
Albania,1999,200,,,,,,
Albania,1999,2000,,,,,,
Albania,1999,20000,,,,,,
Albania,1999,200000,,,,,,
Albania,1999,2A,,,,,,
Albania,1999,2A1,,,,,,
Albania,1999,2A2,,,,,,
Albania,1999,2A3,,,,,,
Albania,1999,2A4,,,,,,
Albania,1999,2A4A,,,,,,
Albania,1999,2A4B,,,,,,
Albania,1999,2A4C,,,,,,
Albania,1999,2A4D,,,,,,
Albania,1999,2B,,,,,,
Albania,1999,2B1,,,,,,
Albania,1999,2B10,,,,,,
Albania,1999,2B2,,,,,,
Albania,1999,2B3,,,,,,
Albania,1999,2B4,,,,,,
Albania,1999,2B5,,,,,,
Albania,1999,2B6,,,,,,
Albania,1999,2B7,,,,,,
Albania,1999,2B8,,,,,,
Albania,1999,2B8A,,,,,,
Albania,1999,2B8B,,,,,,
Albania,1999,2B8C,,,,,,
Albania,1999,2B8D,,,,,,
Albania,1999,2B8E,,,,,,
Albania,1999,2B8F,,,,,,
Albania,1999,2B9,,,,,,
Albania,1999,2B9A,,,,,,
Albania,1999,2B9B,,,,,,
Albania,1999,2C,,,,,,
Albania,1999,2C1,,,,,,
Albania,1999,2C2,,,,,,
Albania,1999,2C3,,,,,,
Albania,1999,2C4,,,,,,
Albania,1999,2C5,,,,,,
Albania,1999,2C6,,,,,,
Albania,1999,2C7,,,,,,
Albania,1999,2D,,,,,,
Albania,1999,2D1,,,,,,
Albania,1999,2D2,,,,,,
Albania,1999,2D3,,,,,,
Albania,1999,2D4,,,,,,
Albania,1999,2E,,,,,,
Albania,1999,2F,,,,,,
Albania,1999,2F1,,,,,,
Albania,1999,2F2,,,,,,
Albania,1999,2F3,,,,,,
Albania,1999,2F4,,,,,,
Albania,1999,2F5,,,,,,
Albania,1999,2F6,,,,,,
Albania,1999,2G,,,,,,
Albania,1999,2G1,,,,,,
Albania,1999,2G2,,,,,,
Albania,1999,2G3,,,,,,
Albania,1999,2G4,,,,,,
Albania,1999,2H,,,,,,
Albania,1999,2H1,,,,,,
Albania,1999,2H2,,,,,,
Albania,1999,2H3,,,,,,
Albania,1999,3,,,,,,
Albania,1999,3A,,,,,,
Albania,1999,3A1,,,,,,
Albania,1999,3A2,,,,,,
Albania,1999,3B,,,,,,
Albania,1999,3B1,,,,,,
Albania,1999,3B1A,,,,,,
Albania,1999,3B1B,,,,,,
Albania,1999,3B2,,,,,,
Albania,1999,3B2A,,,,,,
Albania,1999,3B2B,,,,,,
Albania,1999,3B3,,,,,,
Albania,1999,3B3A,,,,,,
Albania,1999,3B3B,,,,,,
Albania,1999,3B4,,,,,,
Albania,1999,3B4A,,,,,,
Albania,1999,3B4B,,,,,,
Albania,1999,3B5,,,,,,
Albania,1999,3B5A,,,,,,
Albania,1999,3B5B,,,,,,
Albania,1999,3B6,,,,,,
Albania,1999,3B6A,,,,,,
Albania,1999,3B6B,,,,,,
Albania,1999,3B6B1,,,,,,
Albania,1999,3B6B2,,,,,,
Albania,1999,3B6B3,,,,,,
Albania,1999,3B6B4,,,,,,
Albania,1999,3B6B5,,,,,,
Albania,1999,3C,,,,,,
Albania,1999,3C1,,,,,,
Albania,1999,3C2,,,,,,
Albania,1999,3C3,,,,,,
Albania,1999,3C4,,,,,,
Albania,1999,3C5,,,,,,
Albania,1999,3C6,,,,,,
Albania,1999,3C7,,,,,,
Albania,1999,3C8,,,,,,
Albania,1999,3D,,,,,,
Albania,1999,3D1,,,,,,
Albania,1999,3D2,,,,,,
Albania,1999,4,,,,,,
Albania,1999,4A,,,,,,
Albania,1999,4A1,,,,,,
Albania,1999,4A2,,,,,,
Albania,1999,4A3,,,,,,
Albania,1999,4B,,,,,,
Albania,1999,4C,,,,,,
Albania,1999,4C1,,,,,,
Albania,1999,4C2,,,,,,
Albania,1999,4D,,,,,,
Albania,1999,4D1,,,,,,
Albania,1999,4D2,,,,,,
Albania,1999,4E,,,,,,
Albania,1999,5,,,,,,
Albania,1999,5A,,,,,,
Albania,1999,5A1,,,,,,
Albania,1999,5A2,,,,,,
Albania,2000,0,,,,,,
Albania,2000,1,,,,,,
Albania,2000,1A,Coal/peat,,,,,
Albania,2000,1A,Natural gas,,,,,
Albania,2000,1A,Oil,,,,,
Albania,2000,1A1,Coal/peat,,,,,
Albania,2000,1A1,Natural gas,,,,,
Albania,2000,1A1,Oil,,,,,
Albania,2000,1A1A,Coal/peat,,,,,
Albania,2000,1A1A,Natural gas,,,,,
Albania,2000,1A1A,Oil,,,,,
Albania,2000,1A1A1,Coal/peat,,,,,
Albania,2000,1A1A1,Natural gas,,,,,
Albania,2000,1A1A1,Oil,,,,,
Albania,2000,1A1A2,Coal/peat,,,,,
Albania,2000,1A1A2,Natural gas,,,,,
Albania,2000,1A1A2,Oil,,,,,
Albania,2000,1A1A3,Coal/peat,,,,,
Albania,2000,1A1A3,Natural gas,,,,,
Albania,2000,1A1A3,Oil,,,,,
Albania,2000,1A1B,Coal/peat,,,,,
Albania,2000,1A1B,Natural gas,,,,,
Albania,2000,1A1B,Oil,,,,,
Albania,2000,1A1C,Coal/peat,,,,,
Albania,2000,1A1C,Natural gas,,,,,
Albania,2000,1A1C,Oil,,,,,
Albania,2000,1A2,Coal/peat,,,,,
Albania,2000,1A2,Natural gas,,,,,
Albania,2000,1A2,Oil,,,,,
Albania,2000,1A2A,Coal/peat,,,,,
Albania,2000,1A2A,Natural gas,,,,,
Albania,2000,1A2A,Oil,,,,,
Albania,2000,1A2B,Coal/peat,,,,,
Albania,2000,1A2B,Natural gas,,,,,
Albania,2000,1A2B,Oil,,,,,
Albania,2000,1A2C,Coal/peat,,,,,
Albania,2000,1A2C,Natural gas,,,,,
Albania,2000,1A2C,Oil,,,,,
Albania,2000,1A2D,Coal/peat,,,,,
Albania,2000,1A2D,Natural gas,,,,,
Albania,2000,1A2D,Oil,,,,,
Albania,2000,1A2E,Coal/peat,,,,,
Albania,2000,1A2E,Natural gas,,,,,
Albania,2000,1A2E,Oil,,,,,
Albania,2000,1A2F,Coal/peat,,,,,
Albania,2000,1A2F,Natural gas,,,,,
Albania,2000,1A2F,Oil,,,,,
Albania,2000,1A2G,Coal/peat,,,,,
Albania,2000,1A2G,Natural gas,,,,,
Albania,2000,1A2G,Oil,,,,,
Albania,2000,1A2H,Coal/peat,,,,,
Albania,2000,1A2H,Natural gas,,,,,
Albania,2000,1A2H,Oil,,,,,
Albania,2000,1A2I,Coal/peat,,,,,
Albania,2000,1A2I,Natural gas,,,,,
Albania,2000,1A2I,Oil,,,,,
Albania,2000,1A2J,Coal/peat,,,,,
Albania,2000,1A2J,Natural gas,,,,,
Albania,2000,1A2J,Oil,,,,,
Albania,2000,1A2K,Coal/peat,,,,,
Albania,2000,1A2K,Natural gas,,,,,
Albania,2000,1A2K,Oil,,,,,
Albania,2000,1A2L,Coal/peat,,,,,
Albania,2000,1A2L,Natural gas,,,,,
Albania,2000,1A2L,Oil,,,,,
Albania,2000,1A2M,Coal/peat,,,,,
Albania,2000,1A2M,Natural gas,,,,,
Albania,2000,1A2M,Oil,,,,,
Albania,2000,1A3,Coal/peat,,,,,
Albania,2000,1A3,Natural gas,,,,,
Albania,2000,1A3,Oil,,,,,
Albania,2000,1A3A,Coal/peat,,,,,
Albania,2000,1A3A,Natural gas,,,,,
Albania,2000,1A3A,Oil,,,,,
Albania,2000,1A3A1,Coal/peat,,,,,
Albania,2000,1A3A1,Natural gas,,,,,
Albania,2000,1A3A1,Oil,,,,,
Albania,2000,1A3A2,Coal/peat,,,,,
Albania,2000,1A3A2,Natural gas,,,,,
Albania,2000,1A3A2,Oil,,,,,
Albania,2000,1A3B,Coal/peat,,,,,
Albania,2000,1A3B,Natural gas,,,,,
Albania,2000,1A3B,Oil,,,,,
Albania,2000,1A3C,Coal/peat,,,,,
Albania,2000,1A3C,Natural gas,,,,,
Albania,2000,1A3C,Oil,,,,,
Albania,2000,1A3D,Coal/peat,,,,,
Albania,2000,1A3D,Natural gas,,,,,
Albania,2000,1A3D,Oil,,,,,
Albania,2000,1A3D1,Coal/peat,,,,,
Albania,2000,1A3D1,Natural gas,,,,,
Albania,2000,1A3D1,Oil,,,,,
Albania,2000,1A3D2,Coal/peat,,,,,
Albania,2000,1A3D2,Natural gas,,,,,
Albania,2000,1A3D2,Oil,,,,,
Albania,2000,1A3E,Coal/peat,,,,,
Albania,2000,1A3E,Natural gas,,,,,
Albania,2000,1A3E,Oil,,,,,
Albania,2000,1A3E1,Coal/peat,,,,,
Albania,2000,1A3E1,Natural gas,,,,,
Albania,2000,1A3E1,Oil,,,,,
Albania,2000,1A4,Coal/peat,,,,,
Albania,2000,1A4,Natural gas,,,,,
Albania,2000,1A4,Oil,,,,,
Albania,2000,1A4A,Coal/peat,,,,,
Albania,2000,1A4A,Natural gas,,,,,
Albania,2000,1A4A,Oil,,,,,
Albania,2000,1A4B,Coal/peat,,,,,
Albania,2000,1A4B,Natural gas,,,,,
Albania,2000,1A4B,Oil,,,,,
Albania,2000,1A4C,Coal/peat,,,,,
Albania,2000,1A4C,Natural gas,,,,,
Albania,2000,1A4C,Oil,,,,,
Albania,2000,1A4C1,Coal/peat,,,,,
Albania,2000,1A4C1,Natural gas,,,,,
Albania,2000,1A4C1,Oil,,,,,
Albania,2000,1A4C2,Coal/peat,,,,,
Albania,2000,1A4C2,Natural gas,,,,,
Albania,2000,1A4C2,Oil,,,,,
Albania,2000,1A4C3,Coal/peat,,,,,
Albania,2000,1A4C3,Natural gas,,,,,
Albania,2000,1A4C3,Oil,,,,,
Albania,2000,1A5,Coal/peat,,,,,
Albania,2000,1A5,Natural gas,,,,,
Albania,2000,1A5,Oil,,,,,
Albania,2000,1A5A,Coal/peat,,,,,
Albania,2000,1A5A,Natural gas,,,,,
Albania,2000,1A5A,Oil,,,,,
Albania,2000,1A5B,Coal/peat,,,,,
Albania,2000,1A5B,Natural gas,,,,,
Albania,2000,1A5B,Oil,,,,,
Albania,2000,1A5C,Coal/peat,,,,,
Albania,2000,1A5C,Natural gas,,,,,
Albania,2000,1A5C,Oil,,,,,
Albania,2000,1B,,,,,,
Albania,2000,1B1,,,,,,
Albania,2000,1B1A,,,,,,
Albania,2000,1B1A1,,,,,,
Albania,2000,1B1A11,,,,,,
Albania,2000,1B1A12,,,,,,
Albania,2000,1B1A13,,,,,,
Albania,2000,1B1A14,,,,,,
Albania,2000,1B1A2,,,,,,
Albania,2000,1B1A21,,,,,,
Albania,2000,1B1A22,,,,,,
Albania,2000,1B1B,,,,,,
Albania,2000,1B2,,,,,,
Albania,2000,1B2A,,,,,,
Albania,2000,1B2A1,,,,,,
Albania,2000,1B2A2,,,,,,
Albania,2000,1B2A3,,,,,,
Albania,2000,1B2A31,,,,,,
Albania,2000,1B2A32,,,,,,
Albania,2000,1B2A33,,,,,,
Albania,2000,1B2A34,,,,,,
Albania,2000,1B2A35,,,,,,
Albania,2000,1B2A36,,,,,,
Albania,2000,1B2B,,,,,,
Albania,2000,1B2B1,,,,,,
Albania,2000,1B2B2,,,,,,
Albania,2000,1B2B3,,,,,,
Albania,2000,1B2B31,,,,,,
Albania,2000,1B2B32,,,,,,
Albania,2000,1B2B33,,,,,,
Albania,2000,1B2B34,,,,,,
Albania,2000,1B2B35,,,,,,
Albania,2000,1B2B36,,,,,,
Albania,2000,1B3,,,,,,
Albania,2000,1C,,,,,,
Albania,2000,1C1,,,,,,
Albania,2000,1C1A,,,,,,
Albania,2000,1C1B,,,,,,
Albania,2000,1C1C,,,,,,
