Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Solomon Islands,1999,2F5,,,,,,
Solomon Islands,1999,2F6,,,,,,
Solomon Islands,1999,2G,,,,,,
Solomon Islands,1999,2G1,,,,,,
Solomon Islands,1999,2G2,,,,,,
Solomon Islands,1999,2G3,,,,,,
Solomon Islands,1999,2G4,,,,,,
Solomon Islands,1999,2H,,,,,,
Solomon Islands,1999,2H1,,,,,,
Solomon Islands,1999,2H2,,,,,,
Solomon Islands,1999,2H3,,,,,,
Solomon Islands,1999,3,,,,,,
Solomon Islands,1999,3A,,,,,,
Solomon Islands,1999,3A1,,,,,,
Solomon Islands,1999,3A2,,,,,,
Solomon Islands,1999,3B,,,,,,
Solomon Islands,1999,3B1,,,,,,
Solomon Islands,1999,3B1A,,,,,,
Solomon Islands,1999,3B1B,,,,,,
Solomon Islands,1999,3B2,,,,,,
Solomon Islands,1999,3B2A,,,,,,
Solomon Islands,1999,3B2B,,,,,,
Solomon Islands,1999,3B3,,,,,,
Solomon Islands,1999,3B3A,,,,,,
Solomon Islands,1999,3B3B,,,,,,
Solomon Islands,1999,3B4,,,,,,
Solomon Islands,1999,3B4A,,,,,,
Solomon Islands,1999,3B4B,,,,,,
Solomon Islands,1999,3B5,,,,,,
Solomon Islands,1999,3B5A,,,,,,
Solomon Islands,1999,3B5B,,,,,,
Solomon Islands,1999,3B6,,,,,,
Solomon Islands,1999,3B6A,,,,,,
Solomon Islands,1999,3B6B,,,,,,
Solomon Islands,1999,3B6B1,,,,,,
Solomon Islands,1999,3B6B2,,,,,,
Solomon Islands,1999,3B6B3,,,,,,
Solomon Islands,1999,3B6B4,,,,,,
Solomon Islands,1999,3B6B5,,,,,,
Solomon Islands,1999,3C,,,,,,
Solomon Islands,1999,3C1,,,,,,
Solomon Islands,1999,3C2,,,,,,
Solomon Islands,1999,3C3,,,,,,
Solomon Islands,1999,3C4,,,,,,
Solomon Islands,1999,3C5,,,,,,
Solomon Islands,1999,3C6,,,,,,
Solomon Islands,1999,3C7,,,,,,
Solomon Islands,1999,3C8,,,,,,
Solomon Islands,1999,3D,,,,,,
Solomon Islands,1999,3D1,,,,,,
Solomon Islands,1999,3D2,,,,,,
Solomon Islands,1999,4,,,,,,
Solomon Islands,1999,4A,,,,,,
Solomon Islands,1999,4A1,,,,,,
Solomon Islands,1999,4A2,,,,,,
Solomon Islands,1999,4A3,,,,,,
Solomon Islands,1999,4B,,,,,,
Solomon Islands,1999,4C,,,,,,
Solomon Islands,1999,4C1,,,,,,
Solomon Islands,1999,4C2,,,,,,
Solomon Islands,1999,4D,,,,,,
Solomon Islands,1999,4D1,,,,,,
Solomon Islands,1999,4D2,,,,,,
Solomon Islands,1999,4E,,,,,,
Solomon Islands,1999,5,,,,,,
Solomon Islands,1999,5A,,,,,,
Solomon Islands,1999,5A1,,,,,,
Solomon Islands,1999,5A2,,,,,,
Solomon Islands,2000,0,,,,,,
Solomon Islands,2000,1,,,,,,
Solomon Islands,2000,1A,Coal/peat,,,,,
Solomon Islands,2000,1A,Natural gas,,,,,
Solomon Islands,2000,1A,Oil,,,,,
Solomon Islands,2000,1A1,Coal/peat,,,,,
Solomon Islands,2000,1A1,Natural gas,,,,,
Solomon Islands,2000,1A1,Oil,,,,,
Solomon Islands,2000,1A1A,Coal/peat,,,,,
Solomon Islands,2000,1A1A,Natural gas,,,,,
Solomon Islands,2000,1A1A,Oil,,,,,
Solomon Islands,2000,1A1A1,Coal/peat,,,,,
Solomon Islands,2000,1A1A1,Natural gas,,,,,
Solomon Islands,2000,1A1A1,Oil,,,,,
Solomon Islands,2000,1A1A2,Coal/peat,,,,,
Solomon Islands,2000,1A1A2,Natural gas,,,,,
Solomon Islands,2000,1A1A2,Oil,,,,,
Solomon Islands,2000,1A1A3,Coal/peat,,,,,
Solomon Islands,2000,1A1A3,Natural gas,,,,,
Solomon Islands,2000,1A1A3,Oil,,,,,
Solomon Islands,2000,1A1B,Coal/peat,,,,,
Solomon Islands,2000,1A1B,Natural gas,,,,,
Solomon Islands,2000,1A1B,Oil,,,,,
Solomon Islands,2000,1A1C,Coal/peat,,,,,
Solomon Islands,2000,1A1C,Natural gas,,,,,
Solomon Islands,2000,1A1C,Oil,,,,,
Solomon Islands,2000,1A2,Coal/peat,,,,,
Solomon Islands,2000,1A2,Natural gas,,,,,
Solomon Islands,2000,1A2,Oil,,,,,
Solomon Islands,2000,1A2A,Coal/peat,,,,,
Solomon Islands,2000,1A2A,Natural gas,,,,,
Solomon Islands,2000,1A2A,Oil,,,,,
Solomon Islands,2000,1A2B,Coal/peat,,,,,
Solomon Islands,2000,1A2B,Natural gas,,,,,
Solomon Islands,2000,1A2B,Oil,,,,,
Solomon Islands,2000,1A2C,Coal/peat,,,,,
Solomon Islands,2000,1A2C,Natural gas,,,,,
Solomon Islands,2000,1A2C,Oil,,,,,
Solomon Islands,2000,1A2D,Coal/peat,,,,,
Solomon Islands,2000,1A2D,Natural gas,,,,,
Solomon Islands,2000,1A2D,Oil,,,,,
Solomon Islands,2000,1A2E,Coal/peat,,,,,
Solomon Islands,2000,1A2E,Natural gas,,,,,
Solomon Islands,2000,1A2E,Oil,,,,,
Solomon Islands,2000,1A2F,Coal/peat,,,,,
Solomon Islands,2000,1A2F,Natural gas,,,,,
Solomon Islands,2000,1A2F,Oil,,,,,
Solomon Islands,2000,1A2G,Coal/peat,,,,,
Solomon Islands,2000,1A2G,Natural gas,,,,,
Solomon Islands,2000,1A2G,Oil,,,,,
Solomon Islands,2000,1A2H,Coal/peat,,,,,
Solomon Islands,2000,1A2H,Natural gas,,,,,
Solomon Islands,2000,1A2H,Oil,,,,,
Solomon Islands,2000,1A2I,Coal/peat,,,,,
Solomon Islands,2000,1A2I,Natural gas,,,,,
Solomon Islands,2000,1A2I,Oil,,,,,
Solomon Islands,2000,1A2J,Coal/peat,,,,,
Solomon Islands,2000,1A2J,Natural gas,,,,,
Solomon Islands,2000,1A2J,Oil,,,,,
Solomon Islands,2000,1A2K,Coal/peat,,,,,
Solomon Islands,2000,1A2K,Natural gas,,,,,
Solomon Islands,2000,1A2K,Oil,,,,,
Solomon Islands,2000,1A2L,Coal/peat,,,,,
Solomon Islands,2000,1A2L,Natural gas,,,,,
Solomon Islands,2000,1A2L,Oil,,,,,
Solomon Islands,2000,1A2M,Coal/peat,,,,,
Solomon Islands,2000,1A2M,Natural gas,,,,,
Solomon Islands,2000,1A2M,Oil,,,,,
Solomon Islands,2000,1A3,Coal/peat,,,,,
Solomon Islands,2000,1A3,Natural gas,,,,,
Solomon Islands,2000,1A3,Oil,,,,,
Solomon Islands,2000,1A3A,Coal/peat,,,,,
Solomon Islands,2000,1A3A,Natural gas,,,,,
Solomon Islands,2000,1A3A,Oil,,,,,
Solomon Islands,2000,1A3A1,Coal/peat,,,,,
Solomon Islands,2000,1A3A1,Natural gas,,,,,
Solomon Islands,2000,1A3A1,Oil,,,,,
Solomon Islands,2000,1A3A2,Coal/peat,,,,,
Solomon Islands,2000,1A3A2,Natural gas,,,,,
Solomon Islands,2000,1A3A2,Oil,,,,,
Solomon Islands,2000,1A3B,Coal/peat,,,,,
Solomon Islands,2000,1A3B,Natural gas,,,,,
Solomon Islands,2000,1A3B,Oil,,,,,
Solomon Islands,2000,1A3C,Coal/peat,,,,,
Solomon Islands,2000,1A3C,Natural gas,,,,,
Solomon Islands,2000,1A3C,Oil,,,,,
Solomon Islands,2000,1A3D,Coal/peat,,,,,
Solomon Islands,2000,1A3D,Natural gas,,,,,
Solomon Islands,2000,1A3D,Oil,,,,,
Solomon Islands,2000,1A3D1,Coal/peat,,,,,
Solomon Islands,2000,1A3D1,Natural gas,,,,,
Solomon Islands,2000,1A3D1,Oil,,,,,
Solomon Islands,2000,1A3D2,Coal/peat,,,,,
Solomon Islands,2000,1A3D2,Natural gas,,,,,
Solomon Islands,2000,1A3D2,Oil,,,,,
Solomon Islands,2000,1A3E,Coal/peat,,,,,
Solomon Islands,2000,1A3E,Natural gas,,,,,
Solomon Islands,2000,1A3E,Oil,,,,,
Solomon Islands,2000,1A3E1,Coal/peat,,,,,
Solomon Islands,2000,1A3E1,Natural gas,,,,,
Solomon Islands,2000,1A3E1,Oil,,,,,
Solomon Islands,2000,1A4,Coal/peat,,,,,
Solomon Islands,2000,1A4,Natural gas,,,,,
Solomon Islands,2000,1A4,Oil,,,,,
Solomon Islands,2000,1A4A,Coal/peat,,,,,
Solomon Islands,2000,1A4A,Natural gas,,,,,
Solomon Islands,2000,1A4A,Oil,,,,,
Solomon Islands,2000,1A4B,Coal/peat,,,,,
Solomon Islands,2000,1A4B,Natural gas,,,,,
Solomon Islands,2000,1A4B,Oil,,,,,
Solomon Islands,2000,1A4C,Coal/peat,,,,,
Solomon Islands,2000,1A4C,Natural gas,,,,,
Solomon Islands,2000,1A4C,Oil,,,,,
Solomon Islands,2000,1A4C1,Coal/peat,,,,,
Solomon Islands,2000,1A4C1,Natural gas,,,,,
Solomon Islands,2000,1A4C1,Oil,,,,,
Solomon Islands,2000,1A4C2,Coal/peat,,,,,
Solomon Islands,2000,1A4C2,Natural gas,,,,,
Solomon Islands,2000,1A4C2,Oil,,,,,
Solomon Islands,2000,1A4C3,Coal/peat,,,,,
Solomon Islands,2000,1A4C3,Natural gas,,,,,
Solomon Islands,2000,1A4C3,Oil,,,,,
Solomon Islands,2000,1A5,Coal/peat,,,,,
Solomon Islands,2000,1A5,Natural gas,,,,,
Solomon Islands,2000,1A5,Oil,,,,,
Solomon Islands,2000,1A5A,Coal/peat,,,,,
Solomon Islands,2000,1A5A,Natural gas,,,,,
Solomon Islands,2000,1A5A,Oil,,,,,
Solomon Islands,2000,1A5B,Coal/peat,,,,,
Solomon Islands,2000,1A5B,Natural gas,,,,,
Solomon Islands,2000,1A5B,Oil,,,,,
Solomon Islands,2000,1A5C,Coal/peat,,,,,
Solomon Islands,2000,1A5C,Natural gas,,,,,
Solomon Islands,2000,1A5C,Oil,,,,,
Solomon Islands,2000,1B,,,,,,
Solomon Islands,2000,1B1,,,,,,
Solomon Islands,2000,1B1A,,,,,,
Solomon Islands,2000,1B1A1,,,,,,
Solomon Islands,2000,1B1A11,,,,,,
Solomon Islands,2000,1B1A12,,,,,,
Solomon Islands,2000,1B1A13,,,,,,
Solomon Islands,2000,1B1A14,,,,,,
Solomon Islands,2000,1B1A2,,,,,,
Solomon Islands,2000,1B1A21,,,,,,
Solomon Islands,2000,1B1A22,,,,,,
Solomon Islands,2000,1B1B,,,,,,
Solomon Islands,2000,1B2,,,,,,
Solomon Islands,2000,1B2A,,,,,,
Solomon Islands,2000,1B2A1,,,,,,
Solomon Islands,2000,1B2A2,,,,,,
Solomon Islands,2000,1B2A3,,,,,,
Solomon Islands,2000,1B2A31,,,,,,
Solomon Islands,2000,1B2A32,,,,,,
Solomon Islands,2000,1B2A33,,,,,,
Solomon Islands,2000,1B2A34,,,,,,
Solomon Islands,2000,1B2A35,,,,,,
Solomon Islands,2000,1B2A36,,,,,,
Solomon Islands,2000,1B2B,,,,,,
Solomon Islands,2000,1B2B1,,,,,,
Solomon Islands,2000,1B2B2,,,,,,
Solomon Islands,2000,1B2B3,,,,,,
Solomon Islands,2000,1B2B31,,,,,,
Solomon Islands,2000,1B2B32,,,,,,
Solomon Islands,2000,1B2B33,,,,,,
Solomon Islands,2000,1B2B34,,,,,,
Solomon Islands,2000,1B2B35,,,,,,
Solomon Islands,2000,1B2B36,,,,,,
Solomon Islands,2000,1B3,,,,,,
Solomon Islands,2000,1C,,,,,,
Solomon Islands,2000,1C1,,,,,,
Solomon Islands,2000,1C1A,,,,,,
Solomon Islands,2000,1C1B,,,,,,
Solomon Islands,2000,1C1C,,,,,,
Solomon Islands,2000,1C2,,,,,,
Solomon Islands,2000,1C2A,,,,,,
Solomon Islands,2000,1C2B,,,,,,
Solomon Islands,2000,1C3,,,,,,
Solomon Islands,2000,2,,,,,,
Solomon Islands,2000,20,,,,,,
Solomon Islands,2000,200,,,,,,
Solomon Islands,2000,2000,,,,,,
Solomon Islands,2000,20000,,,,,,
Solomon Islands,2000,200000,,,,,,
Solomon Islands,2000,2A,,,,,,
Solomon Islands,2000,2A1,,,,,,
Solomon Islands,2000,2A2,,,,,,
Solomon Islands,2000,2A3,,,,,,
Solomon Islands,2000,2A4,,,,,,
Solomon Islands,2000,2A4A,,,,,,
Solomon Islands,2000,2A4B,,,,,,
Solomon Islands,2000,2A4C,,,,,,
Solomon Islands,2000,2A4D,,,,,,
Solomon Islands,2000,2B,,,,,,
Solomon Islands,2000,2B1,,,,,,
Solomon Islands,2000,2B10,,,,,,
Solomon Islands,2000,2B2,,,,,,
Solomon Islands,2000,2B3,,,,,,
Solomon Islands,2000,2B4,,,,,,
Solomon Islands,2000,2B5,,,,,,
Solomon Islands,2000,2B6,,,,,,
Solomon Islands,2000,2B7,,,,,,
Solomon Islands,2000,2B8,,,,,,
Solomon Islands,2000,2B8A,,,,,,
Solomon Islands,2000,2B8B,,,,,,
Solomon Islands,2000,2B8C,,,,,,
Solomon Islands,2000,2B8D,,,,,,
Solomon Islands,2000,2B8E,,,,,,
Solomon Islands,2000,2B8F,,,,,,
Solomon Islands,2000,2B9,,,,,,
Solomon Islands,2000,2B9A,,,,,,
Solomon Islands,2000,2B9B,,,,,,
Solomon Islands,2000,2C,,,,,,
Solomon Islands,2000,2C1,,,,,,
Solomon Islands,2000,2C2,,,,,,
Solomon Islands,2000,2C3,,,,,,
Solomon Islands,2000,2C4,,,,,,
Solomon Islands,2000,2C5,,,,,,
Solomon Islands,2000,2C6,,,,,,
Solomon Islands,2000,2C7,,,,,,
Solomon Islands,2000,2D,,,,,,
Solomon Islands,2000,2D1,,,,,,
Solomon Islands,2000,2D2,,,,,,
Solomon Islands,2000,2D3,,,,,,
Solomon Islands,2000,2D4,,,,,,
Solomon Islands,2000,2E,,,,,,
Solomon Islands,2000,2F,,,,,,
Solomon Islands,2000,2F1,,,,,,
Solomon Islands,2000,2F2,,,,,,
Solomon Islands,2000,2F3,,,,,,
Solomon Islands,2000,2F4,,,,,,
Solomon Islands,2000,2F5,,,,,,
Solomon Islands,2000,2F6,,,,,,
Solomon Islands,2000,2G,,,,,,
Solomon Islands,2000,2G1,,,,,,
Solomon Islands,2000,2G2,,,,,,
Solomon Islands,2000,2G3,,,,,,
Solomon Islands,2000,2G4,,,,,,
Solomon Islands,2000,2H,,,,,,
Solomon Islands,2000,2H1,,,,,,
Solomon Islands,2000,2H2,,,,,,
Solomon Islands,2000,2H3,,,,,,
Solomon Islands,2000,3,,,,,,
Solomon Islands,2000,3A,,,,,,
Solomon Islands,2000,3A1,,,,,,
Solomon Islands,2000,3A2,,,,,,
Solomon Islands,2000,3B,,,,,,
Solomon Islands,2000,3B1,,,,,,
Solomon Islands,2000,3B1A,,,,,,
Solomon Islands,2000,3B1B,,,,,,
Solomon Islands,2000,3B2,,,,,,
Solomon Islands,2000,3B2A,,,,,,
Solomon Islands,2000,3B2B,,,,,,
Solomon Islands,2000,3B3,,,,,,
Solomon Islands,2000,3B3A,,,,,,
Solomon Islands,2000,3B3B,,,,,,
Solomon Islands,2000,3B4,,,,,,
Solomon Islands,2000,3B4A,,,,,,
Solomon Islands,2000,3B4B,,,,,,
Solomon Islands,2000,3B5,,,,,,
Solomon Islands,2000,3B5A,,,,,,
Solomon Islands,2000,3B5B,,,,,,
Solomon Islands,2000,3B6,,,,,,
Solomon Islands,2000,3B6A,,,,,,
Solomon Islands,2000,3B6B,,,,,,
Solomon Islands,2000,3B6B1,,,,,,
Solomon Islands,2000,3B6B2,,,,,,
Solomon Islands,2000,3B6B3,,,,,,
Solomon Islands,2000,3B6B4,,,,,,
Solomon Islands,2000,3B6B5,,,,,,
Solomon Islands,2000,3C,,,,,,
Solomon Islands,2000,3C1,,,,,,
Solomon Islands,2000,3C2,,,,,,
Solomon Islands,2000,3C3,,,,,,
Solomon Islands,2000,3C4,,,,,,
Solomon Islands,2000,3C5,,,,,,
Solomon Islands,2000,3C6,,,,,,
Solomon Islands,2000,3C7,,,,,,
Solomon Islands,2000,3C8,,,,,,
Solomon Islands,2000,3D,,,,,,
Solomon Islands,2000,3D1,,,,,,
Solomon Islands,2000,3D2,,,,,,
Solomon Islands,2000,4,,,,,,
Solomon Islands,2000,4A,,,,,,
Solomon Islands,2000,4A1,,,,,,
Solomon Islands,2000,4A2,,,,,,
Solomon Islands,2000,4A3,,,,,,
Solomon Islands,2000,4B,,,,,,
Solomon Islands,2000,4C,,,,,,
Solomon Islands,2000,4C1,,,,,,
Solomon Islands,2000,4C2,,,,,,
Solomon Islands,2000,4D,,,,,,
Solomon Islands,2000,4D1,,,,,,
Solomon Islands,2000,4D2,,,,,,
Solomon Islands,2000,4E,,,,,,
Solomon Islands,2000,5,,,,,,
Solomon Islands,2000,5A,,,,,,
Solomon Islands,2000,5A1,,,,,,
Solomon Islands,2000,5A2,,,,,,
Solomon Islands,2001,0,,,,,,
Solomon Islands,2001,1,,,,,,
Solomon Islands,2001,1A,Coal/peat,,,,,
Solomon Islands,2001,1A,Natural gas,,,,,
Solomon Islands,2001,1A,Oil,,,,,
Solomon Islands,2001,1A1,Coal/peat,,,,,
Solomon Islands,2001,1A1,Natural gas,,,,,
Solomon Islands,2001,1A1,Oil,,,,,
Solomon Islands,2001,1A1A,Coal/peat,,,,,
Solomon Islands,2001,1A1A,Natural gas,,,,,
Solomon Islands,2001,1A1A,Oil,,,,,
Solomon Islands,2001,1A1A1,Coal/peat,,,,,
Solomon Islands,2001,1A1A1,Natural gas,,,,,
Solomon Islands,2001,1A1A1,Oil,,,,,
Solomon Islands,2001,1A1A2,Coal/peat,,,,,
Solomon Islands,2001,1A1A2,Natural gas,,,,,
Solomon Islands,2001,1A1A2,Oil,,,,,
Solomon Islands,2001,1A1A3,Coal/peat,,,,,
Solomon Islands,2001,1A1A3,Natural gas,,,,,
Solomon Islands,2001,1A1A3,Oil,,,,,
Solomon Islands,2001,1A1B,Coal/peat,,,,,
Solomon Islands,2001,1A1B,Natural gas,,,,,
Solomon Islands,2001,1A1B,Oil,,,,,
Solomon Islands,2001,1A1C,Coal/peat,,,,,
Solomon Islands,2001,1A1C,Natural gas,,,,,
Solomon Islands,2001,1A1C,Oil,,,,,
Solomon Islands,2001,1A2,Coal/peat,,,,,
Solomon Islands,2001,1A2,Natural gas,,,,,
Solomon Islands,2001,1A2,Oil,,,,,
Solomon Islands,2001,1A2A,Coal/peat,,,,,
Solomon Islands,2001,1A2A,Natural gas,,,,,
Solomon Islands,2001,1A2A,Oil,,,,,
Solomon Islands,2001,1A2B,Coal/peat,,,,,
Solomon Islands,2001,1A2B,Natural gas,,,,,
Solomon Islands,2001,1A2B,Oil,,,,,
Solomon Islands,2001,1A2C,Coal/peat,,,,,
Solomon Islands,2001,1A2C,Natural gas,,,,,
Solomon Islands,2001,1A2C,Oil,,,,,
Solomon Islands,2001,1A2D,Coal/peat,,,,,
Solomon Islands,2001,1A2D,Natural gas,,,,,
Solomon Islands,2001,1A2D,Oil,,,,,
Solomon Islands,2001,1A2E,Coal/peat,,,,,
Solomon Islands,2001,1A2E,Natural gas,,,,,
Solomon Islands,2001,1A2E,Oil,,,,,
Solomon Islands,2001,1A2F,Coal/peat,,,,,
Solomon Islands,2001,1A2F,Natural gas,,,,,
Solomon Islands,2001,1A2F,Oil,,,,,
Solomon Islands,2001,1A2G,Coal/peat,,,,,
Solomon Islands,2001,1A2G,Natural gas,,,,,
Solomon Islands,2001,1A2G,Oil,,,,,
Solomon Islands,2001,1A2H,Coal/peat,,,,,
Solomon Islands,2001,1A2H,Natural gas,,,,,
Solomon Islands,2001,1A2H,Oil,,,,,
Solomon Islands,2001,1A2I,Coal/peat,,,,,
Solomon Islands,2001,1A2I,Natural gas,,,,,
Solomon Islands,2001,1A2I,Oil,,,,,
Solomon Islands,2001,1A2J,Coal/peat,,,,,
Solomon Islands,2001,1A2J,Natural gas,,,,,
Solomon Islands,2001,1A2J,Oil,,,,,
Solomon Islands,2001,1A2K,Coal/peat,,,,,
Solomon Islands,2001,1A2K,Natural gas,,,,,
Solomon Islands,2001,1A2K,Oil,,,,,
Solomon Islands,2001,1A2L,Coal/peat,,,,,
Solomon Islands,2001,1A2L,Natural gas,,,,,
Solomon Islands,2001,1A2L,Oil,,,,,
Solomon Islands,2001,1A2M,Coal/peat,,,,,
Solomon Islands,2001,1A2M,Natural gas,,,,,
Solomon Islands,2001,1A2M,Oil,,,,,
Solomon Islands,2001,1A3,Coal/peat,,,,,
Solomon Islands,2001,1A3,Natural gas,,,,,
Solomon Islands,2001,1A3,Oil,,,,,
Solomon Islands,2001,1A3A,Coal/peat,,,,,
Solomon Islands,2001,1A3A,Natural gas,,,,,
Solomon Islands,2001,1A3A,Oil,,,,,
Solomon Islands,2001,1A3A1,Coal/peat,,,,,
Solomon Islands,2001,1A3A1,Natural gas,,,,,
Solomon Islands,2001,1A3A1,Oil,,,,,
Solomon Islands,2001,1A3A2,Coal/peat,,,,,
Solomon Islands,2001,1A3A2,Natural gas,,,,,
Solomon Islands,2001,1A3A2,Oil,,,,,
Solomon Islands,2001,1A3B,Coal/peat,,,,,
Solomon Islands,2001,1A3B,Natural gas,,,,,
Solomon Islands,2001,1A3B,Oil,,,,,
Solomon Islands,2001,1A3C,Coal/peat,,,,,
Solomon Islands,2001,1A3C,Natural gas,,,,,
Solomon Islands,2001,1A3C,Oil,,,,,
Solomon Islands,2001,1A3D,Coal/peat,,,,,
Solomon Islands,2001,1A3D,Natural gas,,,,,
Solomon Islands,2001,1A3D,Oil,,,,,
Solomon Islands,2001,1A3D1,Coal/peat,,,,,
Solomon Islands,2001,1A3D1,Natural gas,,,,,
Solomon Islands,2001,1A3D1,Oil,,,,,
Solomon Islands,2001,1A3D2,Coal/peat,,,,,
Solomon Islands,2001,1A3D2,Natural gas,,,,,
Solomon Islands,2001,1A3D2,Oil,,,,,
Solomon Islands,2001,1A3E,Coal/peat,,,,,
Solomon Islands,2001,1A3E,Natural gas,,,,,
Solomon Islands,2001,1A3E,Oil,,,,,
Solomon Islands,2001,1A3E1,Coal/peat,,,,,
Solomon Islands,2001,1A3E1,Natural gas,,,,,
Solomon Islands,2001,1A3E1,Oil,,,,,
Solomon Islands,2001,1A4,Coal/peat,,,,,
Solomon Islands,2001,1A4,Natural gas,,,,,
Solomon Islands,2001,1A4,Oil,,,,,
Solomon Islands,2001,1A4A,Coal/peat,,,,,
Solomon Islands,2001,1A4A,Natural gas,,,,,
Solomon Islands,2001,1A4A,Oil,,,,,
Solomon Islands,2001,1A4B,Coal/peat,,,,,
Solomon Islands,2001,1A4B,Natural gas,,,,,
Solomon Islands,2001,1A4B,Oil,,,,,
Solomon Islands,2001,1A4C,Coal/peat,,,,,
Solomon Islands,2001,1A4C,Natural gas,,,,,
Solomon Islands,2001,1A4C,Oil,,,,,
Solomon Islands,2001,1A4C1,Coal/peat,,,,,
Solomon Islands,2001,1A4C1,Natural gas,,,,,
Solomon Islands,2001,1A4C1,Oil,,,,,
Solomon Islands,2001,1A4C2,Coal/peat,,,,,
Solomon Islands,2001,1A4C2,Natural gas,,,,,
Solomon Islands,2001,1A4C2,Oil,,,,,
Solomon Islands,2001,1A4C3,Coal/peat,,,,,
Solomon Islands,2001,1A4C3,Natural gas,,,,,
Solomon Islands,2001,1A4C3,Oil,,,,,
Solomon Islands,2001,1A5,Coal/peat,,,,,
Solomon Islands,2001,1A5,Natural gas,,,,,
Solomon Islands,2001,1A5,Oil,,,,,
Solomon Islands,2001,1A5A,Coal/peat,,,,,
Solomon Islands,2001,1A5A,Natural gas,,,,,
Solomon Islands,2001,1A5A,Oil,,,,,
Solomon Islands,2001,1A5B,Coal/peat,,,,,
Solomon Islands,2001,1A5B,Natural gas,,,,,
Solomon Islands,2001,1A5B,Oil,,,,,
Solomon Islands,2001,1A5C,Coal/peat,,,,,
Solomon Islands,2001,1A5C,Natural gas,,,,,
Solomon Islands,2001,1A5C,Oil,,,,,
Solomon Islands,2001,1B,,,,,,
Solomon Islands,2001,1B1,,,,,,
Solomon Islands,2001,1B1A,,,,,,
Solomon Islands,2001,1B1A1,,,,,,
Solomon Islands,2001,1B1A11,,,,,,
Solomon Islands,2001,1B1A12,,,,,,
Solomon Islands,2001,1B1A13,,,,,,
Solomon Islands,2001,1B1A14,,,,,,
Solomon Islands,2001,1B1A2,,,,,,
Solomon Islands,2001,1B1A21,,,,,,
Solomon Islands,2001,1B1A22,,,,,,
Solomon Islands,2001,1B1B,,,,,,
Solomon Islands,2001,1B2,,,,,,
Solomon Islands,2001,1B2A,,,,,,
Solomon Islands,2001,1B2A1,,,,,,
Solomon Islands,2001,1B2A2,,,,,,
Solomon Islands,2001,1B2A3,,,,,,
Solomon Islands,2001,1B2A31,,,,,,
Solomon Islands,2001,1B2A32,,,,,,
Solomon Islands,2001,1B2A33,,,,,,
Solomon Islands,2001,1B2A34,,,,,,
Solomon Islands,2001,1B2A35,,,,,,
Solomon Islands,2001,1B2A36,,,,,,
Solomon Islands,2001,1B2B,,,,,,
Solomon Islands,2001,1B2B1,,,,,,
Solomon Islands,2001,1B2B2,,,,,,
Solomon Islands,2001,1B2B3,,,,,,
Solomon Islands,2001,1B2B31,,,,,,
Solomon Islands,2001,1B2B32,,,,,,
Solomon Islands,2001,1B2B33,,,,,,
Solomon Islands,2001,1B2B34,,,,,,
Solomon Islands,2001,1B2B35,,,,,,
Solomon Islands,2001,1B2B36,,,,,,
Solomon Islands,2001,1B3,,,,,,
Solomon Islands,2001,1C,,,,,,
Solomon Islands,2001,1C1,,,,,,
Solomon Islands,2001,1C1A,,,,,,
Solomon Islands,2001,1C1B,,,,,,
Solomon Islands,2001,1C1C,,,,,,
Solomon Islands,2001,1C2,,,,,,
Solomon Islands,2001,1C2A,,,,,,
Solomon Islands,2001,1C2B,,,,,,
Solomon Islands,2001,1C3,,,,,,
Solomon Islands,2001,2,,,,,,
Solomon Islands,2001,20,,,,,,
Solomon Islands,2001,200,,,,,,
Solomon Islands,2001,2000,,,,,,
Solomon Islands,2001,20000,,,,,,
Solomon Islands,2001,200000,,,,,,
Solomon Islands,2001,2A,,,,,,
Solomon Islands,2001,2A1,,,,,,
Solomon Islands,2001,2A2,,,,,,
Solomon Islands,2001,2A3,,,,,,
Solomon Islands,2001,2A4,,,,,,
Solomon Islands,2001,2A4A,,,,,,
Solomon Islands,2001,2A4B,,,,,,
Solomon Islands,2001,2A4C,,,,,,
Solomon Islands,2001,2A4D,,,,,,
Solomon Islands,2001,2B,,,,,,
Solomon Islands,2001,2B1,,,,,,
Solomon Islands,2001,2B10,,,,,,
Solomon Islands,2001,2B2,,,,,,
Solomon Islands,2001,2B3,,,,,,
Solomon Islands,2001,2B4,,,,,,
Solomon Islands,2001,2B5,,,,,,
Solomon Islands,2001,2B6,,,,,,
Solomon Islands,2001,2B7,,,,,,
Solomon Islands,2001,2B8,,,,,,
Solomon Islands,2001,2B8A,,,,,,
Solomon Islands,2001,2B8B,,,,,,
Solomon Islands,2001,2B8C,,,,,,
Solomon Islands,2001,2B8D,,,,,,
Solomon Islands,2001,2B8E,,,,,,
Solomon Islands,2001,2B8F,,,,,,
Solomon Islands,2001,2B9,,,,,,
Solomon Islands,2001,2B9A,,,,,,
Solomon Islands,2001,2B9B,,,,,,
Solomon Islands,2001,2C,,,,,,
Solomon Islands,2001,2C1,,,,,,
Solomon Islands,2001,2C2,,,,,,
Solomon Islands,2001,2C3,,,,,,
Solomon Islands,2001,2C4,,,,,,
Solomon Islands,2001,2C5,,,,,,
Solomon Islands,2001,2C6,,,,,,
Solomon Islands,2001,2C7,,,,,,
